"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2522,7.7568e+05,0.9696,-1.2462,1,0,-8.1,0,0
0.25292,7.7553e+05,0.96941,-1.2349,1,0.0731,-8.0269,0,0
0.25365,7.7538e+05,0.96922,-1.2237,1,0.1462,-7.9538,0,0
0.25438,7.7522e+05,0.96903,-1.2124,1,0.2193,-7.8807,0,0
0.25517,7.7499e+05,0.96873,-1.2012,1,0.2924,-7.8076,0,0
0.25602,7.7469e+05,0.96836,-1.1899,1,0.3655,-7.7345,0,0
0.25687,7.7439e+05,0.96799,-1.1787,1,0.4386,-7.6614,0,0
0.25785,7.741e+05,0.96763,-1.1674,1,0.5117,-7.5883,0,0
0.25948,7.7386e+05,0.96733,-1.1562,1,0.5848,-7.5152,0,0
0.2611,7.7362e+05,0.96703,-1.1449,1,0.6579,-7.4421,0,0
0.26273,7.7338e+05,0.96673,-1.1337,1,0.731,-7.369,0,0
0.26467,7.7283e+05,0.96604,-1.1224,1,0.8041,-7.2959,0,0
0.26672,7.7217e+05,0.96521,-1.1112,1,0.8772,-7.2228,0,0
0.26876,7.7151e+05,0.96439,-1.1,1,0.9503,-7.1497,0,0
0.27107,7.7089e+05,0.96362,-1.0887,1,1.0234,-7.0766,0,0
0.27399,7.7038e+05,0.96298,-1.0775,1,1.0965,-7.0035,0,0
0.2769,7.6987e+05,0.96233,-1.0662,1,1.1696,-6.9304,0,0
0.27981,7.6935e+05,0.96169,-1.055,1,1.2427,-6.8573,0,0
0.28316,7.6841e+05,0.96051,-1.0437,1,1.3158,-6.7842,0,0
0.28657,7.6739e+05,0.95924,-1.0325,1,1.3889,-6.7111,0,0
0.28999,7.6637e+05,0.95797,-1.0212,1,1.462,-6.638,0,0
0.29375,7.6543e+05,0.95679,-1.01,1,1.5351,-6.5649,0,0
0.29802,7.646e+05,0.95575,-0.99874,1,1.6082,-6.4918,0,0
0.30228,7.6377e+05,0.95471,-0.98749,1,1.6813,-6.4187,0,0
0.30655,7.6293e+05,0.95367,-0.97625,1,1.7544,-6.3456,0,0
0.31121,7.6163e+05,0.95204,-0.965,1,1.8275,-6.2725,0,0
0.3159,7.6029e+05,0.95037,-0.95375,1,1.9006,-6.1994,0,0
0.3206,7.5895e+05,0.94869,-0.94251,1,1.9737,-6.1263,0,0
0.32544,7.5766e+05,0.94708,-0.93126,1,2.0468,-6.0532,0,0
0.33047,7.5644e+05,0.94555,-0.92002,1,2.1199,-5.9801,0,0
0.3355,7.5522e+05,0.94402,-0.90877,1,2.193,-5.907,0,0
0.34053,7.5399e+05,0.94249,-0.89752,1,2.2661,-5.8339,0,0
0.34667,7.5235e+05,0.94043,-0.88628,1,2.3392,-5.7608,0,0
0.35289,7.5067e+05,0.93834,-0.87503,1,2.4123,-5.6877,0,0
0.3591,7.4899e+05,0.93624,-0.86378,1,2.4854,-5.6146,0,0
0.36569,7.4718e+05,0.93398,-0.85254,1,2.5585,-5.5415,0,0
0.37279,7.452e+05,0.9315,-0.84129,1,2.6316,-5.4684,0,0
0.37989,7.4321e+05,0.92901,-0.83005,1,2.7047,-5.3953,0,0
0.38698,7.4122e+05,0.92653,-0.8188,1,2.7778,-5.3222,0,0
0.39483,7.3889e+05,0.92361,-0.80755,1,2.8509,-5.2491,0,0
0.40276,7.3652e+05,0.92064,-0.79631,1,2.924,-5.176,0,0
0.41069,7.3414e+05,0.91768,-0.78506,1,2.9971,-5.1029,0,0
0.41898,7.3161e+05,0.91451,-0.77382,1,3.0702,-5.0298,0,0
0.42784,7.2881e+05,0.91101,-0.76257,1,3.1433,-4.9567,0,0
0.43671,7.2601e+05,0.90751,-0.75132,1,3.2164,-4.8836,0,0
0.44558,7.2321e+05,0.90401,-0.74008,1,3.2895,-4.8105,0,0
0.4552,7.2001e+05,0.90001,-0.72883,1,3.3626,-4.7374,0,0
0.46499,7.1672e+05,0.8959,-0.71758,1,3.4357,-4.6643,0,0
0.47477,7.1343e+05,0.89179,-0.70634,1,3.5088,-4.5912,0,0
0.48479,7.1001e+05,0.88752,-0.69509,1,3.5819,-4.5181,0,0
0.49541,7.0625e+05,0.88281,-0.68385,1,3.655,-4.445,0,0
0.50603,7.0248e+05,0.87811,-0.6726,1,3.7281,-4.3719,0,0
0.51665,6.9872e+05,0.8734,-0.66135,1,3.8012,-4.2988,0,0
0.5278,6.9462e+05,0.86828,-0.65011,1,3.8743,-4.2257,0,0
0.53917,6.9038e+05,0.86297,-0.63886,1,3.9474,-4.1526,0,0
0.55055,6.8614e+05,0.85767,-0.62762,1,4.0205,-4.0795,0,0
0.56202,6.8183e+05,0.85229,-0.61637,1,4.0936,-4.0064,0,0
0.57414,6.7707e+05,0.84634,-0.60512,1,4.1667,-3.9333,0,0
0.58625,6.7231e+05,0.84039,-0.59388,1,4.2398,-3.8602,0,0
0.59837,6.6755e+05,0.83444,-0.58263,1,4.3129,-3.7871,0,0
0.61091,6.6249e+05,0.82812,-0.57138,1,4.386,-3.714,0,0
0.62384,6.5716e+05,0.82145,-0.56014,1,4.4591,-3.6409,0,0
0.63677,6.5182e+05,0.81478,-0.54889,1,4.5322,-3.5678,0,0
0.6497,6.4648e+05,0.80811,-0.53765,1,4.6053,-3.4947,0,0
0.66352,6.4065e+05,0.80081,-0.5264,1,4.6784,-3.4216,0,0
0.67743,6.3476e+05,0.79346,-0.51515,1,4.7515,-3.3485,0,0
0.69133,6.2888e+05,0.7861,-0.50391,1,4.8246,-3.2754,0,0
0.70529,6.2281e+05,0.77852,-0.49266,1,4.8977,-3.2023,0,0
0.71936,6.163e+05,0.77038,-0.48142,1,4.9708,-3.1292,0,0
0.73343,6.0979e+05,0.76224,-0.47017,1,5.0439,-3.0561,0,0
0.74751,6.0328e+05,0.7541,-0.45892,1,5.117,-2.983,0,0
0.76153,5.9689e+05,0.74611,-0.44768,1,5.1901,-2.9099,0,0
0.77554,5.9054e+05,0.73818,-0.43643,1,5.2632,-2.8368,0,0
0.78954,5.842e+05,0.73025,-0.42518,1,5.3363,-2.7637,0,0
0.80356,5.7785e+05,0.72231,-0.41394,1,5.4094,-2.6906,0,0
0.81814,5.7091e+05,0.71364,-0.40269,1,5.4825,-2.6175,0,0
0.83271,5.6398e+05,0.70498,-0.39145,1,5.5556,-2.5444,0,0
0.84728,5.5705e+05,0.69631,-0.3802,1,5.6287,-2.4713,0,0
0.86195,5.5003e+05,0.68754,-0.36895,1,5.7018,-2.3982,0,0
0.87676,5.4288e+05,0.67861,-0.35771,1,5.7749,-2.3251,0,0
0.89158,5.3574e+05,0.66967,-0.34646,1,5.848,-2.252,0,0
0.90639,5.2859e+05,0.66073,-0.33522,1,5.9211,-2.1789,0,0
0.92121,5.2099e+05,0.65124,-0.32397,1,5.9942,-2.1058,0,0
0.93604,5.132e+05,0.6415,-0.31272,1,6.0673,-2.0327,0,0
0.95087,5.0541e+05,0.63176,-0.30148,1,6.1404,-1.9596,0,0
0.96571,4.9764e+05,0.62205,-0.29023,1,6.2135,-1.8865,0,0
0.9808,4.9045e+05,0.61306,-0.27898,1,6.2866,-1.8134,0,0
0.99588,4.8326e+05,0.60408,-0.26774,1,6.3597,-1.7403,0,0
1.011,4.7607e+05,0.59509,-0.25649,1,6.4328,-1.6672,0,0
1.0261,4.6888e+05,0.58611,-0.24525,1,6.5059,-1.5941,0,0
1.0412,4.617e+05,0.57712,-0.234,1,6.579,-1.521,0,0
1.0562,4.5451e+05,0.56813,-0.22275,1,6.6521,-1.4479,0,0
1.0713,4.4732e+05,0.55915,-0.21151,1,6.7252,-1.3748,0,0
1.0872,4.3967e+05,0.54958,-0.20026,1,6.7983,-1.3017,0,0
1.1035,4.3175e+05,0.53968,-0.18902,1,6.8714,-1.2286,0,0
1.1198,4.2383e+05,0.52978,-0.17777,1,6.9445,-1.1555,0,0
1.1361,4.159e+05,0.51988,-0.16652,1,7.0176,-1.0824,0,0
1.1529,4.0779e+05,0.50974,-0.15528,1,7.0907,-1.0093,0,0
1.1697,3.9966e+05,0.49957,-0.14403,1,7.1638,-0.9362,0,0
1.1865,3.9153e+05,0.48941,-0.13278,1,7.2369,-0.8631,0,0
1.2031,3.8348e+05,0.47935,-0.12154,1,7.31,-0.79,0,0
1.2185,3.758e+05,0.46974,-0.11029,1,7.3831,-0.7169,0,0
1.2339,3.6811e+05,0.46014,-0.099046,1,7.4562,-0.6438,0,0
1.2493,3.6043e+05,0.45054,-0.0878,1,7.5293,-0.5707,0,0
1.2647,3.5314e+05,0.44143,-0.076554,1,7.6024,-0.4976,0,0
