"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25202,7.7554e+05,0.96942,-1.2462,1,0,-8.1,0,0
0.25276,7.7541e+05,0.96926,-1.2349,1,0.0731,-8.0269,0,0
0.25349,7.7528e+05,0.9691,-1.2237,1,0.1462,-7.9538,0,0
0.25422,7.7516e+05,0.96895,-1.2124,1,0.2193,-7.8807,0,0
0.25504,7.7493e+05,0.96866,-1.2012,1,0.2924,-7.8076,0,0
0.25593,7.7463e+05,0.96829,-1.1899,1,0.3655,-7.7345,0,0
0.25681,7.7433e+05,0.96792,-1.1787,1,0.4386,-7.6614,0,0
0.25783,7.7404e+05,0.96755,-1.1674,1,0.5117,-7.5883,0,0
0.25952,7.7377e+05,0.96721,-1.1562,1,0.5848,-7.5152,0,0
0.2612,7.735e+05,0.96688,-1.1449,1,0.6579,-7.4421,0,0
0.26289,7.7323e+05,0.96654,-1.1337,1,0.731,-7.369,0,0
0.26489,7.7268e+05,0.96585,-1.1224,1,0.8041,-7.2959,0,0
0.267,7.7202e+05,0.96502,-1.1112,1,0.8772,-7.2228,0,0
0.26912,7.7136e+05,0.9642,-1.1,1,0.9503,-7.1497,0,0
0.27145,7.7074e+05,0.96343,-1.0887,1,1.0234,-7.0766,0,0
0.2743,7.7022e+05,0.96278,-1.0775,1,1.0965,-7.0035,0,0
0.27714,7.697e+05,0.96213,-1.0662,1,1.1696,-6.9304,0,0
0.27999,7.6918e+05,0.96148,-1.055,1,1.2427,-6.8573,0,0
0.28321,7.6833e+05,0.96042,-1.0437,1,1.3158,-6.7842,0,0
0.28651,7.6743e+05,0.95929,-1.0325,1,1.3889,-6.7111,0,0
0.2898,7.6653e+05,0.95816,-1.0212,1,1.462,-6.638,0,0
0.29327,7.6565e+05,0.95706,-1.01,1,1.5351,-6.5649,0,0
0.29701,7.6482e+05,0.95602,-0.99874,1,1.6082,-6.4918,0,0
0.30075,7.6398e+05,0.95497,-0.98749,1,1.6813,-6.4187,0,0
0.3045,7.6314e+05,0.95393,-0.97625,1,1.7544,-6.3456,0,0
0.30917,7.6197e+05,0.95246,-0.965,1,1.8275,-6.2725,0,0
0.31393,7.6076e+05,0.95095,-0.95375,1,1.9006,-6.1994,0,0
0.31868,7.5956e+05,0.94945,-0.94251,1,1.9737,-6.1263,0,0
0.32378,7.5825e+05,0.94782,-0.93126,1,2.0468,-6.0532,0,0
0.32932,7.5682e+05,0.94602,-0.92002,1,2.1199,-5.9801,0,0
0.33487,7.5538e+05,0.94422,-0.90877,1,2.193,-5.907,0,0
0.34041,7.5394e+05,0.94242,-0.89752,1,2.2661,-5.8339,0,0
0.34664,7.5227e+05,0.94034,-0.88628,1,2.3392,-5.7608,0,0
0.35292,7.5058e+05,0.93823,-0.87503,1,2.4123,-5.6877,0,0
0.35921,7.4889e+05,0.93612,-0.86378,1,2.4854,-5.6146,0,0
0.36583,7.4708e+05,0.93385,-0.85254,1,2.5585,-5.5415,0,0
0.3729,7.4509e+05,0.93136,-0.84129,1,2.6316,-5.4684,0,0
0.37997,7.431e+05,0.92888,-0.83005,1,2.7047,-5.3953,0,0
0.38705,7.4112e+05,0.92639,-0.8188,1,2.7778,-5.3222,0,0
0.39488,7.3882e+05,0.92352,-0.80755,1,2.8509,-5.2491,0,0
