"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22426,8.6026e+06,0.95584,-1.2462,1,0,-8.1,0,0
0.22503,8.5995e+06,0.9555,-1.2349,1,0.0731,-8.0269,0,0
0.22579,8.5964e+06,0.95516,-1.2237,1,0.1462,-7.9538,0,0
0.22655,8.5934e+06,0.95482,-1.2124,1,0.2193,-7.8807,0,0
0.22732,8.5903e+06,0.95448,-1.2012,1,0.2924,-7.8076,0,0
0.22808,8.5873e+06,0.95414,-1.1899,1,0.3655,-7.7345,0,0
0.22884,8.5842e+06,0.9538,-1.1787,1,0.4386,-7.6614,0,0
0.22972,8.5808e+06,0.95342,-1.1674,1,0.5117,-7.5883,0,0
0.23113,8.5755e+06,0.95283,-1.1562,1,0.5848,-7.5152,0,0
0.23255,8.5702e+06,0.95225,-1.1449,1,0.6579,-7.4421,0,0
0.23397,8.5649e+06,0.95166,-1.1337,1,0.731,-7.369,0,0
0.23539,8.5596e+06,0.95107,-1.1224,1,0.8041,-7.2959,0,0
0.23681,8.5543e+06,0.95048,-1.1112,1,0.8772,-7.2228,0,0
0.23823,8.549e+06,0.94989,-1.1,1,0.9503,-7.1497,0,0
0.2399,8.5421e+06,0.94912,-1.0887,1,1.0234,-7.0766,0,0
0.24215,8.5314e+06,0.94793,-1.0775,1,1.0965,-7.0035,0,0
0.24441,8.5207e+06,0.94675,-1.0662,1,1.1696,-6.9304,0,0
0.24666,8.51e+06,0.94556,-1.055,1,1.2427,-6.8573,0,0
0.24971,8.4979e+06,0.94421,-1.0437,1,1.3158,-6.7842,0,0
0.25289,8.4856e+06,0.94284,-1.0325,1,1.3889,-6.7111,0,0
0.25607,8.4732e+06,0.94146,-1.0212,1,1.462,-6.638,0,0
0.25952,8.4591e+06,0.9399,-1.01,1,1.5351,-6.5649,0,0
0.26337,8.4424e+06,0.93805,-0.99874,1,1.6082,-6.4918,0,0
0.26721,8.4258e+06,0.9362,-0.98749,1,1.6813,-6.4187,0,0
0.27106,8.4091e+06,0.93435,-0.97625,1,1.7544,-6.3456,0,0
0.27533,8.3912e+06,0.93235,-0.965,1,1.8275,-6.2725,0,0
0.27965,8.3731e+06,0.93034,-0.95375,1,1.9006,-6.1994,0,0
0.28396,8.3549e+06,0.92833,-0.94251,1,1.9737,-6.1263,0,0
0.28851,8.3356e+06,0.92618,-0.93126,1,2.0468,-6.0532,0,0
0.29336,8.3147e+06,0.92385,-0.92002,1,2.1199,-5.9801,0,0
0.29822,8.2937e+06,0.92152,-0.90877,1,2.193,-5.907,0,0
0.30307,8.2728e+06,0.91919,-0.89752,1,2.2661,-5.8339,0,0
0.30838,8.2493e+06,0.91659,-0.88628,1,2.3392,-5.7608,0,0
0.31372,8.2257e+06,0.91397,-0.87503,1,2.4123,-5.6877,0,0
0.31906,8.2021e+06,0.91134,-0.86378,1,2.4854,-5.6146,0,0
0.32453,8.1779e+06,0.90866,-0.85254,1,2.5585,-5.5415,0,0
0.33019,8.1529e+06,0.90588,-0.84129,1,2.6316,-5.4684,0,0
0.3367,8.1247e+06,0.90274,-0.83005,1,2.7047,-5.3953,0,0
0.34365,8.0948e+06,0.89942,-0.8188,1,2.7778,-5.3222,0,0
0.35186,8.0565e+06,0.89517,-0.80755,1,2.8509,-5.2491,0,0
0.36018,8.0171e+06,0.89079,-0.79631,1,2.924,-5.176,0,0
0.36836,7.9761e+06,0.88623,-0.78506,1,2.9971,-5.1029,0,0
0.37654,7.9356e+06,0.88173,-0.77382,1,3.0702,-5.0298,0,0
0.38473,7.896e+06,0.87733,-0.76257,1,3.1433,-4.9567,0,0
0.39317,7.8533e+06,0.87259,-0.75132,1,3.2164,-4.8836,0,0
0.40176,7.8085e+06,0.86762,-0.74008,1,3.2895,-4.8105,0,0
0.41071,7.7621e+06,0.86245,-0.72883,1,3.3626,-4.7374,0,0
0.41976,7.7151e+06,0.85723,-0.71758,1,3.4357,-4.6643,0,0
0.4292,7.6646e+06,0.85162,-0.70634,1,3.5088,-4.5912,0,0
0.43876,7.6137e+06,0.84596,-0.69509,1,3.5819,-4.5181,0,0
0.44859,7.5615e+06,0.84017,-0.68385,1,3.655,-4.445,0,0
0.45864,7.5079e+06,0.83421,-0.6726,1,3.7281,-4.3719,0,0
0.46891,7.4526e+06,0.82807,-0.66135,1,3.8012,-4.2988,0,0
0.47942,7.3951e+06,0.82168,-0.65011,1,3.8743,-4.2257,0,0
0.49002,7.3366e+06,0.81518,-0.63886,1,3.9474,-4.1526,0,0
0.50083,7.2751e+06,0.80835,-0.62762,1,4.0205,-4.0795,0,0
0.51169,7.2134e+06,0.80149,-0.61637,1,4.0936,-4.0064,0,0
0.52266,7.1518e+06,0.79465,-0.60512,1,4.1667,-3.9333,0,0
0.53401,7.0885e+06,0.78762,-0.59388,1,4.2398,-3.8602,0,0
0.54655,7.0172e+06,0.77969,-0.58263,1,4.3129,-3.7871,0,0
0.55932,6.9419e+06,0.77132,-0.57138,1,4.386,-3.714,0,0
0.57208,6.8688e+06,0.7632,-0.56014,1,4.4591,-3.6409,0,0
0.58499,6.7943e+06,0.75493,-0.54889,1,4.5322,-3.5678,0,0
0.59791,6.7176e+06,0.7464,-0.53765,1,4.6053,-3.4947,0,0
0.61103,6.6411e+06,0.7379,-0.5264,1,4.6784,-3.4216,0,0
0.62508,6.5603e+06,0.72893,-0.51515,1,4.7515,-3.3485,0,0
0.63837,6.4809e+06,0.7201,-0.50391,1,4.8246,-3.2754,0,0
0.65201,6.4014e+06,0.71127,-0.49266,1,4.8977,-3.2023,0,0
0.66592,6.3195e+06,0.70217,-0.48142,1,4.9708,-3.1292,0,0
0.67974,6.2375e+06,0.69305,-0.47017,1,5.0439,-3.0561,0,0
0.69379,6.1555e+06,0.68395,-0.45892,1,5.117,-2.983,0,0
0.70865,6.0688e+06,0.67431,-0.44768,1,5.1901,-2.9099,0,0
0.72364,5.9809e+06,0.66455,-0.43643,1,5.2632,-2.8368,0,0
0.73842,5.895e+06,0.655,-0.42518,1,5.3363,-2.7637,0,0
0.75331,5.8091e+06,0.64546,-0.41394,1,5.4094,-2.6906,0,0
0.76843,5.7223e+06,0.63581,-0.40269,1,5.4825,-2.6175,0,0
0.78374,5.6348e+06,0.62609,-0.39145,1,5.5556,-2.5444,0,0
0.79918,5.5469e+06,0.61632,-0.3802,1,5.6287,-2.4713,0,0
0.81474,5.4588e+06,0.60653,-0.36895,1,5.7018,-2.3982,0,0
0.83041,5.3707e+06,0.59674,-0.35771,1,5.7749,-2.3251,0,0
0.84619,5.2825e+06,0.58695,-0.34646,1,5.848,-2.252,0,0
0.86208,5.1944e+06,0.57716,-0.33522,1,5.9211,-2.1789,0,0
0.87807,5.1065e+06,0.56739,-0.32397,1,5.9942,-2.1058,0,0
0.89416,5.0189e+06,0.55765,-0.31272,1,6.0673,-2.0327,0,0
0.91035,4.9315e+06,0.54795,-0.30148,1,6.1404,-1.9596,0,0
0.92665,4.8445e+06,0.53828,-0.29023,1,6.2135,-1.8865,0,0
0.94304,4.758e+06,0.52867,-0.27898,1,6.2866,-1.8134,0,0
0.95953,4.6719e+06,0.5191,-0.26774,1,6.3597,-1.7403,0,0
0.97613,4.5863e+06,0.50959,-0.25649,1,6.4328,-1.6672,0,0
0.99284,4.5011e+06,0.50012,-0.24525,1,6.5059,-1.5941,0,0
1.0096,4.4165e+06,0.49072,-0.234,1,6.579,-1.521,0,0
1.0265,4.3326e+06,0.4814,-0.22275,1,6.6521,-1.4479,0,0
1.0434,4.2498e+06,0.4722,-0.21151,1,6.7252,-1.3748,0,0
1.0605,4.1672e+06,0.46302,-0.20026,1,6.7983,-1.3017,0,0
1.0778,4.0848e+06,0.45386,-0.18902,1,6.8714,-1.2286,0,0
1.0954,4.0021e+06,0.44468,-0.17777,1,6.9445,-1.1555,0,0
1.113,3.9206e+06,0.43562,-0.16652,1,7.0176,-1.0824,0,0
