"Mach","x","Points:0","Points:1","Points:2"
0.24123,-1.2462,-8.1,0,0
0.24185,-1.2349,-8.0269,0,0
0.24248,-1.2237,-7.9538,0,0
0.2431,-1.2124,-7.8807,0,0
0.24378,-1.2012,-7.8076,0,0
0.24451,-1.1899,-7.7345,0,0
0.24525,-1.1787,-7.6614,0,0
0.24606,-1.1674,-7.5883,0,0
0.24726,-1.1562,-7.5152,0,0
0.24846,-1.1449,-7.4421,0,0
0.24966,-1.1337,-7.369,0,0
0.25151,-1.1224,-7.2959,0,0
0.25359,-1.1112,-7.2228,0,0
0.25567,-1.1,-7.1497,0,0
0.25795,-1.0887,-7.0766,0,0
0.26068,-1.0775,-7.0035,0,0
0.2634,-1.0662,-6.9304,0,0
0.26613,-1.055,-6.8573,0,0
0.26923,-1.0437,-6.7842,0,0
0.27241,-1.0325,-6.7111,0,0
0.27558,-1.0212,-6.638,0,0
0.27887,-1.01,-6.5649,0,0
0.28231,-0.99874,-6.4918,0,0
0.28575,-0.98749,-6.4187,0,0
0.28919,-0.97625,-6.3456,0,0
0.29336,-0.965,-6.2725,0,0
0.29784,-0.95375,-6.1994,0,0
0.3034,-0.94251,-6.1263,0,0
0.30875,-0.93126,-6.0532,0,0
0.31385,-0.92002,-5.9801,0,0
0.31931,-0.90877,-5.907,0,0
0.32495,-0.89752,-5.8339,0,0
0.331,-0.88628,-5.7608,0,0
0.33712,-0.87503,-5.6877,0,0
0.34347,-0.86378,-5.6146,0,0
0.34996,-0.85254,-5.5415,0,0
0.35665,-0.84129,-5.4684,0,0
0.36351,-0.83005,-5.3953,0,0
0.37046,-0.8188,-5.3222,0,0
0.37766,-0.80755,-5.2491,0,0
0.38497,-0.79631,-5.176,0,0
0.39272,-0.78506,-5.1029,0,0
0.4004,-0.77382,-5.0298,0,0
0.40861,-0.76257,-4.9567,0,0
0.41773,-0.75132,-4.8836,0,0
0.42713,-0.74008,-4.8105,0,0
0.43591,-0.72883,-4.7374,0,0
0.44541,-0.71758,-4.6643,0,0
0.45536,-0.70634,-4.5912,0,0
0.46516,-0.69509,-4.5181,0,0
0.47527,-0.68385,-4.445,0,0
0.48562,-0.6726,-4.3719,0,0
0.49609,-0.66135,-4.2988,0,0
0.50685,-0.65011,-4.2257,0,0
0.51787,-0.63886,-4.1526,0,0
0.5291,-0.62762,-4.0795,0,0
0.54055,-0.61637,-4.0064,0,0
0.55221,-0.60512,-3.9333,0,0
0.56407,-0.59388,-3.8602,0,0
0.57613,-0.58263,-3.7871,0,0
0.58834,-0.57138,-3.714,0,0
0.60057,-0.56014,-3.6409,0,0
0.61266,-0.54889,-3.5678,0,0
0.62525,-0.53765,-3.4947,0,0
0.63872,-0.5264,-3.4216,0,0
0.65198,-0.51515,-3.3485,0,0
0.6651,-0.50391,-3.2754,0,0
0.67849,-0.49266,-3.2023,0,0
0.69225,-0.48142,-3.1292,0,0
0.70591,-0.47017,-3.0561,0,0
0.71981,-0.45892,-2.983,0,0
0.73377,-0.44768,-2.9099,0,0
0.74801,-0.43643,-2.8368,0,0
0.76229,-0.42518,-2.7637,0,0
0.7767,-0.41394,-2.6906,0,0
0.79122,-0.40269,-2.6175,0,0
0.80577,-0.39145,-2.5444,0,0
0.82035,-0.3802,-2.4713,0,0
0.83506,-0.36895,-2.3982,0,0
0.84985,-0.35771,-2.3251,0,0
0.86472,-0.34646,-2.252,0,0
0.87967,-0.33522,-2.1789,0,0
0.89469,-0.32397,-2.1058,0,0
0.90978,-0.31272,-2.0327,0,0
0.92495,-0.30148,-1.9596,0,0
0.94019,-0.29023,-1.8865,0,0
0.9555,-0.27898,-1.8134,0,0
0.9709,-0.26774,-1.7403,0,0
0.98637,-0.25649,-1.6672,0,0
1.0019,-0.24525,-1.5941,0,0
1.0176,-0.234,-1.521,0,0
1.0333,-0.22275,-1.4479,0,0
1.0492,-0.21151,-1.3748,0,0
1.0651,-0.20026,-1.3017,0,0
1.0812,-0.18902,-1.2286,0,0
1.0974,-0.17777,-1.1555,0,0
1.1138,-0.16652,-1.0824,0,0
1.1303,-0.15528,-1.0093,0,0
1.147,-0.14403,-0.9362,0,0
1.1639,-0.13278,-0.8631,0,0
1.181,-0.12154,-0.79,0,0
1.1983,-0.11029,-0.7169,0,0
1.216,-0.099046,-0.6438,0,0
1.234,-0.0878,-0.5707,0,0
1.2523,-0.076554,-0.4976,0,0
1.271,-0.065308,-0.4245,0,0
1.2901,-0.054062,-0.3514,0,0
1.3096,-0.042815,-0.2783,0,0
1.3294,-0.031569,-0.2052,0,0
1.3496,-0.020323,-0.1321,0,0
1.3702,-0.009077,-0.059,0,0
1.3911,0.0021692,0.0141,0,0
1.4122,0.013415,0.0872,0,0
1.4345,0.024661,0.1603,0,0
1.4548,0.035908,0.2334,0,0
1.4763,0.047154,0.3065,0,0
1.4985,0.0584,0.3796,0,0
1.5207,0.069646,0.4527,0,0
1.5429,0.080892,0.5258,0,0
1.5651,0.092138,0.5989,0,0
