"Mach","p","tp","x","Points:0","Points:1","Points:2"
0.45547,0.86596,0.99838,-0.70634,-4.5912,0,0
0.46526,0.86054,0.99816,-0.69509,-4.5181,0,0
0.47537,0.85523,0.99833,-0.68385,-4.445,0,0
0.48569,0.84954,0.9983,-0.6726,-4.3719,0,0
0.49615,0.84376,0.99833,-0.66135,-4.2988,0,0
0.5069,0.83773,0.99834,-0.65011,-4.2257,0,0
0.5179,0.83147,0.99833,-0.63886,-4.1526,0,0
0.52909,0.82502,0.99832,-0.62762,-4.0795,0,0
0.54041,0.8184,0.99829,-0.61637,-4.0064,0,0
0.55165,0.81174,0.99822,-0.60512,-3.9333,0,0
0.56297,0.80514,0.99837,-0.59388,-3.8602,0,0
0.57528,0.7977,0.99831,-0.58263,-3.7871,0,0
0.58775,0.7903,0.99849,-0.57138,-3.714,0,0
0.60019,0.78271,0.9985,-0.56014,-3.6409,0,0
0.61282,0.77489,0.99845,-0.54889,-3.5678,0,0
0.62578,0.76683,0.99843,-0.53765,-3.4947,0,0
0.63871,0.75879,0.99849,-0.5264,-3.4216,0,0
0.65167,0.75069,0.99856,-0.51515,-3.3485,0,0
0.66523,0.74215,0.99862,-0.50391,-3.2754,0,0
0.67853,0.73366,0.9986,-0.49266,-3.2023,0,0
0.69233,0.7249,0.99868,-0.48142,-3.1292,0,0
0.70603,0.7161,0.99868,-0.47017,-3.0561,0,0
0.71979,0.7072,0.99865,-0.45892,-2.983,0,0
0.73375,0.69819,0.99867,-0.44768,-2.9099,0,0
0.748,0.68897,0.9987,-0.43643,-2.8368,0,0
0.76228,0.67972,0.99873,-0.42518,-2.7637,0,0
0.77669,0.67038,0.99877,-0.41394,-2.6906,0,0
0.79116,0.66099,0.9988,-0.40269,-2.6175,0,0
0.80556,0.65163,0.99882,-0.39145,-2.5444,0,0
0.82023,0.64211,0.99886,-0.3802,-2.4713,0,0
0.83498,0.63254,0.99887,-0.36895,-2.3982,0,0
0.84977,0.62297,0.99889,-0.35771,-2.3251,0,0
0.86464,0.61335,0.99889,-0.34646,-2.252,0,0
0.87958,0.60372,0.99889,-0.33522,-2.1789,0,0
0.8946,0.59407,0.99891,-0.32397,-2.1058,0,0
0.9097,0.58442,0.99892,-0.31272,-2.0327,0,0
0.92486,0.57477,0.99894,-0.30148,-1.9596,0,0
0.9401,0.56512,0.99896,-0.29023,-1.8865,0,0
0.95542,0.55549,0.99899,-0.27898,-1.8134,0,0
0.97081,0.54587,0.99902,-0.26774,-1.7403,0,0
0.98628,0.53626,0.99905,-0.25649,-1.6672,0,0
1.0018,0.52667,0.99907,-0.24525,-1.5941,0,0
1.0175,0.5171,0.9991,-0.234,-1.521,0,0
1.0332,0.50756,0.99912,-0.22275,-1.4479,0,0
1.049,0.49804,0.99914,-0.21151,-1.3748,0,0
1.0649,0.48854,0.99916,-0.20026,-1.3017,0,0
1.081,0.47907,0.99919,-0.18902,-1.2286,0,0
1.0972,0.46962,0.99921,-0.17777,-1.1555,0,0
1.1135,0.46019,0.99924,-0.16652,-1.0824,0,0
1.13,0.45078,0.99927,-0.15528,-1.0093,0,0
1.1467,0.44138,0.99931,-0.14403,-0.9362,0,0
1.1636,0.43197,0.99934,-0.13278,-0.8631,0,0
1.1807,0.42256,0.99937,-0.12154,-0.79,0,0
1.1981,0.41313,0.99939,-0.11029,-0.7169,0,0
1.2158,0.40368,0.99941,-0.099046,-0.6438,0,0
1.2338,0.39422,0.99943,-0.0878,-0.5707,0,0
1.2522,0.38473,0.99945,-0.076554,-0.4976,0,0
1.2709,0.3752,0.99947,-0.065308,-0.4245,0,0
1.2901,0.36564,0.9995,-0.054062,-0.3514,0,0
1.3096,0.35606,0.99954,-0.042815,-0.2783,0,0
1.3295,0.34649,0.99957,-0.031569,-0.2052,0,0
1.3498,0.33694,0.99961,-0.020323,-0.1321,0,0
1.3704,0.32745,0.99964,-0.009077,-0.059,0,0
