Density,Mach,Pressure,Temperature,x,Points:0,Points:1,Points:2,z,Gamma,1-gamma-1/M2
46.1,0.33409,932730,490.68,-0.89752,-5.8339,0,0,0.778002144143981,0.713645671469348,-8.67292437986597
45.989,0.34027,930050,490.3,-0.88628,-5.7608,0,0,0.778241826175114,0.713206493506173,-8.35000281334377
45.877,0.34649,927310,489.91,-0.87503,-5.6877,0,0,0.778462611070878,0.71275415751774,-8.04224758743863
45.764,0.35271,924580,489.53,-0.86378,-5.6146,0,0,0.778691324719013,0.712352477153979,-7.75065698520371
45.652,0.35923,921860,489.14,-0.85254,-5.5415,0,0,0.778925844281292,0.711897642421222,-7.4610607717428
45.54,0.36615,919150,488.75,-0.84129,-5.4684,0,0,0.779167313306025,0.711441387882466,-7.17046398851582
45.428,0.37307,916450,488.36,-0.83005,-5.3953,0,0,0.779415797113601,0.710983653779151,-6.8958607858671
45.317,0.37999,913740,487.98,-0.8188,-5.3222,0,0,0.779621115311385,0.710588854015601,-6.63616110925509
45.183,0.38765,910500,487.51,-0.80755,-5.2491,0,0,0.779911795528829,0.710040412973929,-6.36461693410739
45.046,0.3954,907190,487.04,-0.79631,-5.176,0,0,0.780192051528438,0.709540598128724,-6.10580886171331
44.91,0.40315,903890,486.56,-0.78506,-5.1029,0,0,0.780477260464093,0.708988744124812,-5.86170194682753
44.765,0.41122,900390,486.06,-0.77382,-5.0298,0,0,0.780775760403225,0.708459502198681,-5.62205401886405
44.607,0.41981,896570,485.5,-0.76257,-4.9567,0,0,0.781116987630392,0.707814634732323,-5.38188139335401
44.449,0.4284,892750,484.94,-0.75132,-4.8836,0,0,0.781455021719419,0.707179089590425,-5.15598170431823
44.29,0.437,888930,484.39,-0.74008,-4.8105,0,0,0.781791320508012,0.706607195813815,-4.94305918540375
44.113,0.44622,884640,483.76,-0.72883,-4.7374,0,0,0.782157390911426,0.70590999671187,-4.72820172986238
43.931,0.45557,880260,483.11,-0.71758,-4.6643,0,0,0.782560605537736,0.705173909593995,-4.52342873760856
43.749,0.46493,875870,482.47,-0.70634,-4.5912,0,0,0.782934331321532,0.70451219765382,-4.33071704569268
43.559,0.4745,871300,481.79,-0.69509,-4.5181,0,0,0.78335056666355,0.703762072091454,-4.14524059587724
