"Mach","x","Points:0","Points:1","Points:2"
0.19942,-1.2462,-8.1,0,0
0.20148,-1.2349,-8.0269,0,0
0.20353,-1.2237,-7.9538,0,0
0.20559,-1.2124,-7.8807,0,0
0.20764,-1.2012,-7.8076,0,0
0.2097,-1.1899,-7.7345,0,0
0.21175,-1.1787,-7.6614,0,0
0.21394,-1.1674,-7.5883,0,0
0.21679,-1.1562,-7.5152,0,0
0.21964,-1.1449,-7.4421,0,0
0.22249,-1.1337,-7.369,0,0
0.22534,-1.1224,-7.2959,0,0
0.22819,-1.1112,-7.2228,0,0
0.23104,-1.1,-7.1497,0,0
0.23416,-1.0887,-7.0766,0,0
0.23788,-1.0775,-7.0035,0,0
0.24161,-1.0662,-6.9304,0,0
0.24534,-1.055,-6.8573,0,0
0.24907,-1.0437,-6.7842,0,0
0.2528,-1.0325,-6.7111,0,0
0.25653,-1.0212,-6.638,0,0
0.26069,-1.01,-6.5649,0,0
0.26551,-0.99874,-6.4918,0,0
0.27032,-0.98749,-6.4187,0,0
0.27514,-0.97625,-6.3456,0,0
0.27996,-0.965,-6.2725,0,0
0.28477,-0.95375,-6.1994,0,0
0.28959,-0.94251,-6.1263,0,0
0.29492,-0.93126,-6.0532,0,0
0.30092,-0.92002,-5.9801,0,0
0.30693,-0.90877,-5.907,0,0
0.31293,-0.89752,-5.8339,0,0
0.31893,-0.88628,-5.7608,0,0
0.32494,-0.87503,-5.6877,0,0
0.33094,-0.86378,-5.6146,0,0
0.3375,-0.85254,-5.5415,0,0
0.34479,-0.84129,-5.4684,0,0
0.35209,-0.83005,-5.3953,0,0
0.35938,-0.8188,-5.3222,0,0
0.36668,-0.80755,-5.2491,0,0
0.37397,-0.79631,-5.176,0,0
0.38127,-0.78506,-5.1029,0,0
0.38905,-0.77382,-5.0298,0,0
0.39763,-0.76257,-4.9567,0,0
0.40621,-0.75132,-4.8836,0,0
0.41479,-0.74008,-4.8105,0,0
0.42337,-0.72883,-4.7374,0,0
0.43195,-0.71758,-4.6643,0,0
0.44053,-0.70634,-4.5912,0,0
0.44944,-0.69509,-4.5181,0,0
0.45923,-0.68385,-4.445,0,0
0.46902,-0.6726,-4.3719,0,0
0.47881,-0.66135,-4.2988,0,0
0.4886,-0.65011,-4.2257,0,0
0.49839,-0.63886,-4.1526,0,0
0.50818,-0.62762,-4.0795,0,0
0.5181,-0.61637,-4.0064,0,0
0.52895,-0.60512,-3.9333,0,0
0.5398,-0.59388,-3.8602,0,0
0.55065,-0.58263,-3.7871,0,0
0.5615,-0.57138,-3.714,0,0
0.57236,-0.56014,-3.6409,0,0
0.58321,-0.54889,-3.5678,0,0
