"Mach","x","Points:0","Points:1","Points:2"
1.7609,0.51949,3.3767,0,0
1.7463,0.53074,3.4498,0,0
1.7399,0.54198,3.5229,0,0
1.7382,0.55323,3.596,0,0
1.7373,0.56448,3.6691,0,0
1.7387,0.57572,3.7422,0,0
1.741,0.58697,3.8153,0,0
1.7432,0.59822,3.8884,0,0
1.7454,0.60946,3.9615,0,0
1.7512,0.62071,4.0346,0,0
1.7579,0.63195,4.1077,0,0
1.7678,0.6432,4.1808,0,0
1.7785,0.65445,4.2539,0,0
1.7926,0.66569,4.327,0,0
1.8098,0.67694,4.4001,0,0
1.8294,0.68818,4.4732,0,0
1.8487,0.69943,4.5463,0,0
1.8684,0.71068,4.6194,0,0
1.8872,0.72192,4.6925,0,0
1.9072,0.73317,4.7656,0,0
1.9289,0.74442,4.8387,0,0
1.9511,0.75566,4.9118,0,0
1.9753,0.76691,4.9849,0,0
2.0009,0.77815,5.058,0,0
2.0276,0.7894,5.1311,0,0
2.0489,0.80065,5.2042,0,0
2.0666,0.81189,5.2773,0,0
2.087,0.82314,5.3504,0,0
2.1092,0.83438,5.4235,0,0
2.1324,0.84563,5.4966,0,0
2.1559,0.85688,5.5697,0,0
2.1799,0.86812,5.6428,0,0
2.2041,0.87937,5.7159,0,0
2.2286,0.89062,5.789,0,0
2.2533,0.90186,5.8621,0,0
2.2784,0.91311,5.9352,0,0
2.3038,0.92435,6.0083,0,0
2.3293,0.9356,6.0814,0,0
2.355,0.94685,6.1545,0,0
2.3817,0.95809,6.2276,0,0
2.4088,0.96934,6.3007,0,0
2.4328,0.98058,6.3738,0,0
2.4552,0.99183,6.4469,0,0
2.4752,1.0031,6.52,0,0
2.4939,1.0143,6.5931,0,0
2.5134,1.0256,6.6662,0,0
2.5335,1.0368,6.7393,0,0
2.5535,1.0481,6.8124,0,0
2.5734,1.0593,6.8855,0,0
2.5936,1.0706,6.9586,0,0
2.614,1.0818,7.0317,0,0
2.6345,1.093,7.1048,0,0
2.655,1.1043,7.1779,0,0
2.6748,1.1155,7.251,0,0
2.6935,1.1268,7.3241,0,0
2.7122,1.138,7.3972,0,0
2.7309,1.1493,7.4703,0,0
2.7486,1.1605,7.5434,0,0
2.7636,1.1718,7.6165,0,0
2.7786,1.183,7.6896,0,0
2.7936,1.1943,7.7627,0,0
2.8086,1.2055,7.8358,0,0
2.8236,1.2168,7.9089,0,0
2.8387,1.228,7.982,0,0
2.8537,1.2392,8.0551,0,0
2.8687,1.2505,8.1282,0,0
2.8837,1.2617,8.2013,0,0
2.8988,1.273,8.2744,0,0
2.9138,1.2842,8.3475,0,0
2.9288,1.2955,8.4206,0,0
2.9437,1.3067,8.4937,0,0
2.9585,1.318,8.5668,0,0
2.9733,1.3292,8.6399,0,0
2.9881,1.3405,8.713,0,0
3.003,1.3517,8.7861,0,0
3.0178,1.363,8.8592,0,0
3.0326,1.3742,8.9323,0,0
3.0474,1.3854,9.0054,0,0
3.063,1.3967,9.0785,0,0
3.0793,1.4079,9.1516,0,0
3.0956,1.4192,9.2247,0,0
3.1119,1.4304,9.2978,0,0
3.1282,1.4417,9.3709,0,0
3.1445,1.4529,9.444,0,0
3.1609,1.4642,9.5171,0,0
3.1772,1.4754,9.5902,0,0
3.1937,1.4867,9.6633,0,0
3.2128,1.4979,9.7364,0,0
3.2319,1.5092,9.8095,0,0
3.2509,1.5204,9.8826,0,0
3.27,1.5316,9.9557,0,0
3.2911,1.5429,10.029,0,0
3.3125,1.5541,10.102,0,0
3.3339,1.5654,10.175,0,0
3.3553,1.5766,10.248,0,0
3.3768,1.5879,10.321,0,0
3.3983,1.5991,10.394,0,0
3.4198,1.6104,10.467,0,0
3.4413,1.6216,10.54,0,0
3.4638,1.6329,10.614,0,0
3.4884,1.6441,10.687,0,0
3.5137,1.6554,10.76,0,0
3.5417,1.6666,10.833,0,0
3.5697,1.6778,10.906,0,0
3.5961,1.6891,10.979,0,0
3.6226,1.7003,11.052,0,0
3.6528,1.7116,11.125,0,0
3.6868,1.7228,11.198,0,0
3.7246,1.7341,11.271,0,0
3.7694,1.7453,11.345,0,0
0.51878,1.7566,11.418,0,0
0.331,1.7678,11.491,0,0
0.29447,1.7791,11.564,0,0
0.27019,1.7903,11.637,0,0
0.25162,1.8016,11.71,0,0
0.23618,1.8128,11.783,0,0
0.22484,1.824,11.856,0,0
0.21547,1.8353,11.929,0,0
0.2061,1.8465,12.002,0,0
0.19672,1.8578,12.076,0,0
0.18735,1.869,12.149,0,0
0.17785,1.8803,12.222,0,0
0.16831,1.8915,12.295,0,0
0.15878,1.9028,12.368,0,0
0.14925,1.914,12.441,0,0
0.1396,1.9253,12.514,0,0
0.12983,1.9365,12.587,0,0
0.12005,1.9478,12.66,0,0
