"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.80395,5.5044e+06,0.6116,-0.3802,1,5.6287,-2.4713,0,0
0.81999,5.4148e+06,0.60164,-0.36895,1,5.7018,-2.3982,0,0
0.83662,5.3241e+06,0.59156,-0.35771,1,5.7749,-2.3251,0,0
0.85325,5.2333e+06,0.58148,-0.34646,1,5.848,-2.252,0,0
0.86989,5.1426e+06,0.5714,-0.33522,1,5.9211,-2.1789,0,0
0.88688,5.0496e+06,0.56107,-0.32397,1,5.9942,-2.1058,0,0
0.90402,4.9557e+06,0.55063,-0.31272,1,6.0673,-2.0327,0,0
0.92116,4.8617e+06,0.54019,-0.30148,1,6.1404,-1.9596,0,0
0.93829,4.768e+06,0.52978,-0.29023,1,6.2135,-1.8865,0,0
0.95497,4.6841e+06,0.52045,-0.27898,1,6.2866,-1.8134,0,0
0.97166,4.6001e+06,0.51112,-0.26774,1,6.3597,-1.7403,0,0
0.98834,4.5161e+06,0.50179,-0.25649,1,6.4328,-1.6672,0,0
1.005,4.4321e+06,0.49246,-0.24525,1,6.5059,-1.5941,0,0
1.0217,4.3482e+06,0.48313,-0.234,1,6.579,-1.521,0,0
1.0384,4.2642e+06,0.4738,-0.22275,1,6.6521,-1.4479,0,0
1.0551,4.1802e+06,0.46447,-0.21151,1,6.7252,-1.3748,0,0
1.0726,4.0992e+06,0.45547,-0.20026,1,6.7983,-1.3017,0,0
1.0905,4.02e+06,0.44667,-0.18902,1,6.8714,-1.2286,0,0
1.1084,3.9408e+06,0.43787,-0.17777,1,6.9445,-1.1555,0,0
1.1263,3.8616e+06,0.42907,-0.16652,1,7.0176,-1.0824,0,0
1.1443,3.7824e+06,0.42027,-0.15528,1,7.0907,-1.0093,0,0
1.1622,3.7032e+06,0.41147,-0.14403,1,7.1638,-0.9362,0,0
1.1801,3.624e+06,0.40266,-0.13278,1,7.2369,-0.8631,0,0
1.1985,3.5443e+06,0.39381,-0.12154,1,7.31,-0.79,0,0
1.2185,3.4623e+06,0.3847,-0.11029,1,7.3831,-0.7169,0,0
1.2386,3.3804e+06,0.3756,-0.099046,1,7.4562,-0.6438,0,0
1.2587,3.2985e+06,0.36649,-0.0878,1,7.5293,-0.5707,0,0
1.279,3.2179e+06,0.35754,-0.076554,1,7.6024,-0.4976,0,0
1.2996,3.139e+06,0.34878,-0.065308,1,7.6755,-0.4245,0,0
1.3203,3.0601e+06,0.34002,-0.054062,1,7.7486,-0.3514,0,0
1.3409,2.9813e+06,0.33126,-0.042815,1,7.8217,-0.2783,0,0
1.3615,2.9067e+06,0.32297,-0.031569,1,7.8948,-0.2052,0,0
1.3821,2.8341e+06,0.31491,-0.020323,1,7.9679,-0.1321,0,0
1.4027,2.7616e+06,0.30684,-0.009077,1,8.041,-0.059,0,0
1.4233,2.689e+06,0.29878,0.0021692,1,8.1141,0.0141,0,0
1.4438,2.6219e+06,0.29133,0.013415,1,8.1872,0.0872,0,0
1.4644,2.5555e+06,0.28394,0.024661,1,8.2603,0.1603,0,0
1.4849,2.489e+06,0.27655,0.035908,1,8.3334,0.2334,0,0
1.5054,2.4232e+06,0.26924,0.047154,1,8.4065,0.3065,0,0
1.526,2.3621e+06,0.26245,0.0584,1,8.4796,0.3796,0,0
1.5466,2.301e+06,0.25566,0.069646,1,8.5527,0.4527,0,0
1.5672,2.2399e+06,0.24887,0.080892,1,8.6258,0.5258,0,0
1.5878,2.1804e+06,0.24227,0.092138,1,8.6989,0.5989,0,0
1.6085,2.1242e+06,0.23602,0.10338,1,8.772,0.672,0,0
1.6291,2.068e+06,0.22978,0.11463,1,8.8451,0.7451,0,0
1.6498,2.0118e+06,0.22354,0.12588,1,8.9182,0.8182,0,0
1.6704,1.9583e+06,0.21759,0.13712,1,8.9913,0.8913,0,0
1.691,1.9071e+06,0.2119,0.14837,1,9.0644,0.9644,0,0
1.7116,1.856e+06,0.20622,0.15962,1,9.1375,1.0375,0,0
1.7322,1.8048e+06,0.20053,0.17086,1,9.2106,1.1106,0,0
1.7524,1.7574e+06,0.19526,0.18211,1,9.2837,1.1837,0,0
1.7726,1.7116e+06,0.19017,0.19335,1,9.3568,1.2568,0,0
1.7927,1.6657e+06,0.18508,0.2046,1,9.4299,1.3299,0,0
1.8128,1.6199e+06,0.17999,0.21585,1,9.503,1.403,0,0
1.832,1.5795e+06,0.1755,0.22709,1,9.5761,1.4761,0,0
1.8511,1.5398e+06,0.17109,0.23834,1,9.6492,1.5492,0,0
1.8702,1.5002e+06,0.16669,0.24958,1,9.7223,1.6223,0,0
1.8892,1.4607e+06,0.1623,0.26083,1,9.7954,1.6954,0,0
1.9066,1.4275e+06,0.15861,0.27208,1,9.8685,1.7685,0,0
1.924,1.3944e+06,0.15493,0.28332,1,9.9416,1.8416,0,0
1.9413,1.3612e+06,0.15125,0.29457,1,10.015,1.9147,0,0
1.9583,1.3293e+06,0.14769,0.30582,1,10.088,1.9878,0,0
1.9731,1.303e+06,0.14477,0.31706,1,10.161,2.0609,0,0
1.9879,1.2767e+06,0.14186,0.32831,1,10.234,2.134,0,0
2.0028,1.2504e+06,0.13894,0.33955,1,10.307,2.2071,0,0
2.0164,1.2265e+06,0.13628,0.3508,1,10.38,2.2802,0,0
2.0272,1.2084e+06,0.13426,0.36205,1,10.453,2.3533,0,0
2.038,1.1902e+06,0.13225,0.37329,1,10.526,2.4264,0,0
