"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22534,8.6038e+06,0.95597,-1.2462,1,0,-8.1,0,0
0.22614,8.5995e+06,0.9555,-1.2349,1,0.0731,-8.0269,0,0
0.22693,8.5952e+06,0.95502,-1.2237,1,0.1462,-7.9538,0,0
0.22772,8.5909e+06,0.95455,-1.2124,1,0.2193,-7.8807,0,0
0.22852,8.5867e+06,0.95407,-1.2012,1,0.2924,-7.8076,0,0
0.22931,8.5824e+06,0.9536,-1.1899,1,0.3655,-7.7345,0,0
0.23011,8.5781e+06,0.95312,-1.1787,1,0.4386,-7.6614,0,0
0.23105,8.5733e+06,0.95259,-1.1674,1,0.5117,-7.5883,0,0
0.23273,8.5659e+06,0.95177,-1.1562,1,0.5848,-7.5152,0,0
0.23441,8.5585e+06,0.95095,-1.1449,1,0.6579,-7.4421,0,0
0.23609,8.5511e+06,0.95013,-1.1337,1,0.731,-7.369,0,0
0.23777,8.5438e+06,0.94931,-1.1224,1,0.8041,-7.2959,0,0
0.23945,8.5364e+06,0.94849,-1.1112,1,0.8772,-7.2228,0,0
0.24113,8.529e+06,0.94767,-1.1,1,0.9503,-7.1497,0,0
0.24314,8.5201e+06,0.94668,-1.0887,1,1.0234,-7.0766,0,0
0.24594,8.5079e+06,0.94532,-1.0775,1,1.0965,-7.0035,0,0
0.24874,8.4957e+06,0.94396,-1.0662,1,1.1696,-6.9304,0,0
0.25154,8.4834e+06,0.9426,-1.055,1,1.2427,-6.8573,0,0
0.25433,8.4712e+06,0.94124,-1.0437,1,1.3158,-6.7842,0,0
0.25713,8.4589e+06,0.93988,-1.0325,1,1.3889,-6.7111,0,0
0.25993,8.4467e+06,0.93852,-1.0212,1,1.462,-6.638,0,0
0.26323,8.4323e+06,0.93692,-1.01,1,1.5351,-6.5649,0,0
0.26728,8.4146e+06,0.93495,-0.99874,1,1.6082,-6.4918,0,0
0.27134,8.3969e+06,0.93299,-0.98749,1,1.6813,-6.4187,0,0
0.27539,8.3792e+06,0.93102,-0.97625,1,1.7544,-6.3456,0,0
0.27945,8.3615e+06,0.92906,-0.965,1,1.8275,-6.2725,0,0
0.2835,8.3438e+06,0.92709,-0.95375,1,1.9006,-6.1994,0,0
0.28756,8.3261e+06,0.92513,-0.94251,1,1.9737,-6.1263,0,0
0.29221,8.3056e+06,0.92285,-0.93126,1,2.0468,-6.0532,0,0
