"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25268,7.7548e+05,0.96935,-1.2462,1,0,-8.1,0,0
0.25282,7.7545e+05,0.96931,-1.2349,1,0.0731,-8.0269,0,0
0.2531,7.7539e+05,0.96924,-1.2237,1,0.1462,-7.9538,0,0
0.25355,7.7529e+05,0.96911,-1.2124,1,0.2193,-7.8807,0,0
0.25417,7.7516e+05,0.96895,-1.2012,1,0.2924,-7.8076,0,0
0.25497,7.7499e+05,0.96874,-1.1899,1,0.3655,-7.7345,0,0
0.25596,7.7479e+05,0.96848,-1.1787,1,0.4386,-7.6614,0,0
0.25713,7.7455e+05,0.96818,-1.1674,1,0.5117,-7.5883,0,0
0.25846,7.7427e+05,0.96784,-1.1562,1,0.5848,-7.5152,0,0
0.25998,7.7395e+05,0.96744,-1.1449,1,0.6579,-7.4421,0,0
0.26169,7.7359e+05,0.96699,-1.1337,1,0.731,-7.369,0,0
0.26358,7.732e+05,0.9665,-1.1224,1,0.8041,-7.2959,0,0
0.26564,7.7277e+05,0.96597,-1.1112,1,0.8772,-7.2228,0,0
0.26789,7.723e+05,0.96538,-1.1,1,0.9503,-7.1497,0,0
0.27034,7.7177e+05,0.96471,-1.0887,1,1.0234,-7.0766,0,0
0.273,7.712e+05,0.964,-1.0775,1,1.0965,-7.0035,0,0
0.27585,7.7056e+05,0.96319,-1.0662,1,1.1696,-6.9304,0,0
0.27889,7.6987e+05,0.96234,-1.055,1,1.2427,-6.8573,0,0
0.28211,7.6912e+05,0.9614,-1.0437,1,1.3158,-6.7842,0,0
0.28551,7.6835e+05,0.96044,-1.0325,1,1.3889,-6.7111,0,0
0.28913,7.6756e+05,0.95945,-1.0212,1,1.462,-6.638,0,0
0.29293,7.667e+05,0.95837,-1.01,1,1.5351,-6.5649,0,0
0.29699,7.6583e+05,0.95729,-0.99874,1,1.6082,-6.4918,0,0
0.30122,7.6486e+05,0.95607,-0.98749,1,1.6813,-6.4187,0,0
0.30562,7.6382e+05,0.95477,-0.97625,1,1.7544,-6.3456,0,0
0.31027,7.628e+05,0.95349,-0.965,1,1.8275,-6.2725,0,0
0.31512,7.6161e+05,0.95201,-0.95375,1,1.9006,-6.1994,0,0
0.32014,7.6032e+05,0.95041,-0.94251,1,1.9737,-6.1263,0,0
0.32538,7.5894e+05,0.94867,-0.93126,1,2.0468,-6.0532,0,0
0.3309,7.5745e+05,0.94682,-0.92002,1,2.1199,-5.9801,0,0
0.33661,7.5596e+05,0.94496,-0.90877,1,2.193,-5.907,0,0
0.34254,7.5449e+05,0.94311,-0.89752,1,2.2661,-5.8339,0,0
0.34878,7.5282e+05,0.94103,-0.88628,1,2.3392,-5.7608,0,0
0.35512,7.5111e+05,0.93889,-0.87503,1,2.4123,-5.6877,0,0
0.36185,7.4936e+05,0.93671,-0.86378,1,2.4854,-5.6146,0,0
0.36872,7.4754e+05,0.93442,-0.85254,1,2.5585,-5.5415,0,0
0.37588,7.4553e+05,0.93191,-0.84129,1,2.6316,-5.4684,0,0
0.38326,7.4349e+05,0.92936,-0.83005,1,2.7047,-5.3953,0,0
0.39082,7.4142e+05,0.92678,-0.8188,1,2.7778,-5.3222,0,0
0.39868,7.3904e+05,0.9238,-0.80755,1,2.8509,-5.2491,0,0
0.40664,7.3657e+05,0.92072,-0.79631,1,2.924,-5.176,0,0
0.41499,7.3394e+05,0.91743,-0.78506,1,2.9971,-5.1029,0,0
0.42338,7.313e+05,0.91413,-0.77382,1,3.0702,-5.0298,0,0
0.4322,7.2859e+05,0.91074,-0.76257,1,3.1433,-4.9567,0,0
0.44102,7.2588e+05,0.90735,-0.75132,1,3.2164,-4.8836,0,0
0.45023,7.2295e+05,0.90369,-0.74008,1,3.2895,-4.8105,0,0
0.45944,7.2002e+05,0.90002,-0.72883,1,3.3626,-4.7374,0,0
0.46882,7.1673e+05,0.89591,-0.71758,1,3.4357,-4.6643,0,0
0.47821,7.1342e+05,0.89178,-0.70634,1,3.5088,-4.5912,0,0
0.48766,7.103e+05,0.88787,-0.69509,1,3.5819,-4.5181,0,0
0.49712,7.0719e+05,0.88399,-0.68385,1,3.655,-4.445,0,0
0.50735,7.0361e+05,0.87951,-0.6726,1,3.7281,-4.3719,0,0
0.51834,6.997e+05,0.87463,-0.66135,1,3.8012,-4.2988,0,0
0.52971,6.9555e+05,0.86944,-0.65011,1,3.8743,-4.2257,0,0
