"Mach","p","x","Points:0","Points:1","Points:2"
0.23966,0.9605,-1.2462,-8.1,0,0
0.24019,0.96036,-1.2349,-8.0269,0,0
0.24072,0.96023,-1.2237,-7.9538,0,0
0.24125,0.9601,-1.2124,-7.8807,0,0
0.24203,0.9598,-1.2012,-7.8076,0,0
0.243,0.95938,-1.1899,-7.7345,0,0
0.24396,0.95896,-1.1787,-7.6614,0,0
0.24501,0.95852,-1.1674,-7.5883,0,0
0.24648,0.95799,-1.1562,-7.5152,0,0
0.24795,0.95745,-1.1449,-7.4421,0,0
0.24942,0.95692,-1.1337,-7.369,0,0
0.25133,0.95619,-1.1224,-7.2959,0,0
0.2534,0.9554,-1.1112,-7.2228,0,0
0.25546,0.95461,-1.1,-7.1497,0,0
0.25771,0.95375,-1.0887,-7.0766,0,0
0.26037,0.95272,-1.0775,-7.0035,0,0
0.26303,0.95169,-1.0662,-6.9304,0,0
0.2657,0.95066,-1.055,-6.8573,0,0
0.26887,0.94947,-1.0437,-6.7842,0,0
0.27214,0.94826,-1.0325,-6.7111,0,0
0.27541,0.94705,-1.0212,-6.638,0,0
0.27893,0.94569,-1.01,-6.5649,0,0
0.28283,0.94413,-0.99874,-6.4918,0,0
0.28672,0.94257,-0.98749,-6.4187,0,0
0.29061,0.941,-0.97625,-6.3456,0,0
0.29505,0.93926,-0.965,-6.2725,0,0
0.29953,0.9375,-0.95375,-6.1994,0,0
0.304,0.93574,-0.94251,-6.1263,0,0
0.30873,0.93386,-0.93126,-6.0532,0,0
0.31379,0.93184,-0.92002,-5.9801,0,0
0.31884,0.92982,-0.90877,-5.907,0,0
0.3239,0.9278,-0.89752,-5.8339,0,0
0.32983,0.92508,-0.88628,-5.7608,0,0
0.33582,0.92232,-0.87503,-5.6877,0,0
0.34182,0.91956,-0.86378,-5.6146,0,0
0.3481,0.91679,-0.85254,-5.5415,0,0
0.35477,0.91401,-0.84129,-5.4684,0,0
0.36144,0.91123,-0.83005,-5.3953,0,0
