"Mach","p","x","Points:0","Points:1","Points:2"
0.24111,0.96033,-1.2462,-8.1,0,0
0.24194,0.95994,-1.2349,-8.0269,0,0
0.24277,0.95956,-1.2237,-7.9538,0,0
0.24361,0.95918,-1.2124,-7.8807,0,0
0.24444,0.9588,-1.2012,-7.8076,0,0
0.24527,0.95842,-1.1899,-7.7345,0,0
0.2461,0.95804,-1.1787,-7.6614,0,0
0.24709,0.9576,-1.1674,-7.5883,0,0
0.24887,0.95687,-1.1562,-7.5152,0,0
0.25065,0.95615,-1.1449,-7.4421,0,0
0.25243,0.95543,-1.1337,-7.369,0,0
0.25422,0.9547,-1.1224,-7.2959,0,0
0.256,0.95398,-1.1112,-7.2228,0,0
0.25778,0.95325,-1.1,-7.1497,0,0
0.25991,0.95238,-1.0887,-7.0766,0,0
0.26284,0.95118,-1.0775,-7.0035,0,0
0.26577,0.94998,-1.0662,-6.9304,0,0
0.2687,0.94878,-1.055,-6.8573,0,0
0.27163,0.94757,-1.0437,-6.7842,0,0
0.27456,0.94637,-1.0325,-6.7111,0,0
0.27749,0.94517,-1.0212,-6.638,0,0
0.28092,0.94374,-1.01,-6.5649,0,0
0.28508,0.94199,-0.99874,-6.4918,0,0
0.28925,0.94024,-0.98749,-6.4187,0,0
0.29342,0.93848,-0.97625,-6.3456,0,0
0.29758,0.93673,-0.965,-6.2725,0,0
0.30175,0.93497,-0.95375,-6.1994,0,0
0.30591,0.93322,-0.94251,-6.1263,0,0
0.31064,0.93118,-0.93126,-6.0532,0,0
0.3161,0.92876,-0.92002,-5.9801,0,0
0.32155,0.92634,-0.90877,-5.907,0,0
0.32701,0.92392,-0.89752,-5.8339,0,0
0.33247,0.9215,-0.88628,-5.7608,0,0
0.33793,0.91908,-0.87503,-5.6877,0,0
0.34339,0.91667,-0.86378,-5.6146,0,0
0.34962,0.91383,-0.85254,-5.5415,0,0
0.35691,0.91044,-0.84129,-5.4684,0,0
0.3642,0.90704,-0.83005,-5.3953,0,0
0.37148,0.90365,-0.8188,-5.3222,0,0
0.37877,0.90026,-0.80755,-5.2491,0,0
0.38606,0.89686,-0.79631,-5.176,0,0
0.39334,0.89347,-0.78506,-5.1029,0,0
0.40123,0.8896,-0.77382,-5.0298,0,0
0.41009,0.88495,-0.76257,-4.9567,0,0
0.41896,0.8803,-0.75132,-4.8836,0,0
0.42782,0.87565,-0.74008,-4.8105,0,0
0.43668,0.871,-0.72883,-4.7374,0,0
0.44555,0.86635,-0.71758,-4.6643,0,0
0.45441,0.8617,-0.70634,-4.5912,0,0
0.46366,0.85684,-0.69509,-4.5181,0,0
0.47391,0.85141,-0.68385,-4.445,0,0
0.48417,0.84598,-0.6726,-4.3719,0,0
0.49442,0.84055,-0.66135,-4.2988,0,0
0.50468,0.83512,-0.65011,-4.2257,0,0
0.51493,0.8297,-0.63886,-4.1526,0,0
0.52519,0.82427,-0.62762,-4.0795,0,0
0.53566,0.81859,-0.61637,-4.0064,0,0
0.54779,0.81106,-0.60512,-3.9333,0,0
0.55992,0.80354,-0.59388,-3.8602,0,0
0.57205,0.79602,-0.58263,-3.7871,0,0
0.5844,0.78834,-0.57138,-3.714,0,0
0.59696,0.78053,-0.56014,-3.6409,0,0
0.60951,0.77271,-0.54889,-3.5678,0,0
0.62207,0.76489,-0.53765,-3.4947,0,0
0.63503,0.75679,-0.5264,-3.4216,0,0
0.64802,0.74866,-0.51515,-3.3485,0,0
0.66101,0.74053,-0.50391,-3.2754,0,0
0.67422,0.73224,-0.49266,-3.2023,0,0
0.6879,0.72358,-0.48142,-3.1292,0,0
