"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25194,7.7569e+05,0.96961,-1.2462,1,0,-8.1,0,0
0.25276,7.7546e+05,0.96932,-1.2349,1,0.0731,-8.0269,0,0
0.25359,7.7523e+05,0.96903,-1.2237,1,0.1462,-7.9538,0,0
0.25442,7.75e+05,0.96874,-1.2124,1,0.2193,-7.8807,0,0
0.25524,7.7477e+05,0.96846,-1.2012,1,0.2924,-7.8076,0,0
0.25607,7.7453e+05,0.96817,-1.1899,1,0.3655,-7.7345,0,0
0.2569,7.743e+05,0.96788,-1.1787,1,0.4386,-7.6614,0,0
0.25788,7.7404e+05,0.96755,-1.1674,1,0.5117,-7.5883,0,0
0.2596,7.7364e+05,0.96705,-1.1562,1,0.5848,-7.5152,0,0
0.26133,7.7323e+05,0.96654,-1.1449,1,0.6579,-7.4421,0,0
0.26306,7.7282e+05,0.96603,-1.1337,1,0.731,-7.369,0,0
0.26478,7.7241e+05,0.96552,-1.1224,1,0.8041,-7.2959,0,0
0.26651,7.7201e+05,0.96501,-1.1112,1,0.8772,-7.2228,0,0
0.26823,7.716e+05,0.9645,-1.1,1,0.9503,-7.1497,0,0
0.27026,7.7112e+05,0.9639,-1.0887,1,1.0234,-7.0766,0,0
0.27298,7.7049e+05,0.96311,-1.0775,1,1.0965,-7.0035,0,0
0.27571,7.6986e+05,0.96232,-1.0662,1,1.1696,-6.9304,0,0
0.27843,7.6923e+05,0.96153,-1.055,1,1.2427,-6.8573,0,0
0.28115,7.6859e+05,0.96074,-1.0437,1,1.3158,-6.7842,0,0
0.28388,7.6796e+05,0.95995,-1.0325,1,1.3889,-6.7111,0,0
0.2866,7.6733e+05,0.95916,-1.0212,1,1.462,-6.638,0,0
0.28974,7.6655e+05,0.95819,-1.01,1,1.5351,-6.5649,0,0
0.2935,7.6556e+05,0.95695,-0.99874,1,1.6082,-6.4918,0,0
0.29726,7.6457e+05,0.95571,-0.98749,1,1.6813,-6.4187,0,0
0.30102,7.6357e+05,0.95447,-0.97625,1,1.7544,-6.3456,0,0
0.30597,7.6239e+05,0.95299,-0.965,1,1.8275,-6.2725,0,0
0.31102,7.6119e+05,0.95149,-0.95375,1,1.9006,-6.1994,0,0
0.31607,7.5999e+05,0.94999,-0.94251,1,1.9737,-6.1263,0,0
0.32147,7.5864e+05,0.9483,-0.93126,1,2.0468,-6.0532,0,0
0.32732,7.5709e+05,0.94636,-0.92002,1,2.1199,-5.9801,0,0
0.33316,7.5554e+05,0.94442,-0.90877,1,2.193,-5.907,0,0
0.33901,7.5399e+05,0.94248,-0.89752,1,2.2661,-5.8339,0,0
0.34532,7.5232e+05,0.94041,-0.88628,1,2.3392,-5.7608,0,0
0.35166,7.5065e+05,0.93832,-0.87503,1,2.4123,-5.6877,0,0
0.35801,7.4898e+05,0.93623,-0.86378,1,2.4854,-5.6146,0,0
