"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25217,7.7564e+05,0.96955,-1.2462,1,0,-8.1,0,0
0.253,7.754e+05,0.96926,-1.2349,1,0.0731,-8.0269,0,0
0.25384,7.7517e+05,0.96896,-1.2237,1,0.1462,-7.9538,0,0
0.25467,7.7493e+05,0.96866,-1.2124,1,0.2193,-7.8807,0,0
0.2555,7.7469e+05,0.96836,-1.2012,1,0.2924,-7.8076,0,0
0.25634,7.7445e+05,0.96806,-1.1899,1,0.3655,-7.7345,0,0
0.25717,7.7421e+05,0.96776,-1.1787,1,0.4386,-7.6614,0,0
0.25817,7.7394e+05,0.96743,-1.1674,1,0.5117,-7.5883,0,0
0.25996,7.7351e+05,0.96689,-1.1562,1,0.5848,-7.5152,0,0
0.26175,7.7308e+05,0.96636,-1.1449,1,0.6579,-7.4421,0,0
0.26354,7.7266e+05,0.96582,-1.1337,1,0.731,-7.369,0,0
0.26534,7.7223e+05,0.96529,-1.1224,1,0.8041,-7.2959,0,0
0.26713,7.718e+05,0.96475,-1.1112,1,0.8772,-7.2228,0,0
0.26892,7.7137e+05,0.96422,-1.1,1,0.9503,-7.1497,0,0
0.27105,7.7086e+05,0.96357,-1.0887,1,1.0234,-7.0766,0,0
0.27397,7.7015e+05,0.96268,-1.0775,1,1.0965,-7.0035,0,0
0.27688,7.6944e+05,0.9618,-1.0662,1,1.1696,-6.9304,0,0
0.27979,7.6872e+05,0.96091,-1.055,1,1.2427,-6.8573,0,0
0.2827,7.6801e+05,0.96002,-1.0437,1,1.3158,-6.7842,0,0
0.28561,7.673e+05,0.95913,-1.0325,1,1.3889,-6.7111,0,0
0.28853,7.6659e+05,0.95824,-1.0212,1,1.462,-6.638,0,0
0.2919,7.6579e+05,0.95724,-1.01,1,1.5351,-6.5649,0,0
0.29595,7.6487e+05,0.95609,-0.99874,1,1.6082,-6.4918,0,0
0.30001,7.6395e+05,0.95494,-0.98749,1,1.6813,-6.4187,0,0
0.30406,7.6303e+05,0.95378,-0.97625,1,1.7544,-6.3456,0,0
0.30811,7.6211e+05,0.95263,-0.965,1,1.8275,-6.2725,0,0
0.31217,7.6118e+05,0.95148,-0.95375,1,1.9006,-6.1994,0,0
0.31622,7.6026e+05,0.95033,-0.94251,1,1.9737,-6.1263,0,0
0.32097,7.5903e+05,0.94878,-0.93126,1,2.0468,-6.0532,0,0
0.32661,7.5738e+05,0.94673,-0.92002,1,2.1199,-5.9801,0,0
0.33226,7.5574e+05,0.94468,-0.90877,1,2.193,-5.907,0,0
0.33791,7.541e+05,0.94263,-0.89752,1,2.2661,-5.8339,0,0
0.34435,7.5231e+05,0.94039,-0.88628,1,2.3392,-5.7608,0,0
0.35086,7.5051e+05,0.93814,-0.87503,1,2.4123,-5.6877,0,0
0.35737,7.4871e+05,0.93589,-0.86378,1,2.4854,-5.6146,0,0
0.36419,7.4682e+05,0.93352,-0.85254,1,2.5585,-5.5415,0,0
0.37142,7.448e+05,0.931,-0.84129,1,2.6316,-5.4684,0,0
0.37866,7.4278e+05,0.92848,-0.83005,1,2.7047,-5.3953,0,0
0.38589,7.4077e+05,0.92596,-0.8188,1,2.7778,-5.3222,0,0
0.39384,7.3843e+05,0.92304,-0.80755,1,2.8509,-5.2491,0,0
0.40187,7.3606e+05,0.92008,-0.79631,1,2.924,-5.176,0,0
0.40991,7.337e+05,0.91712,-0.78506,1,2.9971,-5.1029,0,0
0.41823,7.3118e+05,0.91397,-0.77382,1,3.0702,-5.0298,0,0
0.42705,7.2842e+05,0.91053,-0.76257,1,3.1433,-4.9567,0,0
0.43587,7.2566e+05,0.90708,-0.75132,1,3.2164,-4.8836,0,0
0.44468,7.229e+05,0.90363,-0.74008,1,3.2895,-4.8105,0,0
0.45404,7.1983e+05,0.89979,-0.72883,1,3.3626,-4.7374,0,0
0.46352,7.1669e+05,0.89586,-0.71758,1,3.4357,-4.6643,0,0
0.473,7.1354e+05,0.89193,-0.70634,1,3.5088,-4.5912,0,0
0.48263,7.1032e+05,0.8879,-0.69509,1,3.5819,-4.5181,0,0
0.49268,7.069e+05,0.88362,-0.68385,1,3.655,-4.445,0,0
0.50274,7.0348e+05,0.87934,-0.6726,1,3.7281,-4.3719,0,0
0.51279,7.0005e+05,0.87506,-0.66135,1,3.8012,-4.2988,0,0
0.52373,6.9617e+05,0.87021,-0.65011,1,3.8743,-4.2257,0,0
0.53507,6.9209e+05,0.86511,-0.63886,1,3.9474,-4.1526,0,0
0.54672,6.8764e+05,0.85955,-0.62762,1,4.0205,-4.0795,0,0
0.55836,6.8316e+05,0.85396,-0.61637,1,4.0936,-4.0064,0,0
0.56957,6.7885e+05,0.84856,-0.60512,1,4.1667,-3.9333,0,0
0.5811,6.7445e+05,0.84306,-0.59388,1,4.2398,-3.8602,0,0
0.5933,6.6986e+05,0.83733,-0.58263,1,4.3129,-3.7871,0,0
0.60607,6.6486e+05,0.83107,-0.57138,1,4.386,-3.714,0,0
0.61935,6.5946e+05,0.82433,-0.56014,1,4.4591,-3.6409,0,0
0.63264,6.5398e+05,0.81747,-0.54889,1,4.5322,-3.5678,0,0
0.64594,6.4846e+05,0.81057,-0.53765,1,4.6053,-3.4947,0,0
0.65918,6.4289e+05,0.80361,-0.5264,1,4.6784,-3.4216,0,0
0.67243,6.373e+05,0.79663,-0.51515,1,4.7515,-3.3485,0,0
0.68584,6.3154e+05,0.78942,-0.50391,1,4.8246,-3.2754,0,0
0.69931,6.257e+05,0.78212,-0.49266,1,4.8977,-3.2023,0,0
0.71295,6.1969e+05,0.77462,-0.48142,1,4.9708,-3.1292,0,0
0.72669,6.1358e+05,0.76698,-0.47017,1,5.0439,-3.0561,0,0
0.74051,6.0737e+05,0.75921,-0.45892,1,5.117,-2.983,0,0
0.75442,6.0105e+05,0.75131,-0.44768,1,5.1901,-2.9099,0,0
0.76837,5.9468e+05,0.74335,-0.43643,1,5.2632,-2.8368,0,0
0.7824,5.8818e+05,0.73523,-0.42518,1,5.3363,-2.7637,0,0
0.79645,5.8166e+05,0.72708,-0.41394,1,5.4094,-2.6906,0,0
