"Mach","p","x","Points:0","Points:1","Points:2"
0.24123,0.96062,-1.2462,-8.1,0,0
0.24189,0.96031,-1.2349,-8.0269,0,0
0.24255,0.95999,-1.2237,-7.9538,0,0
0.24321,0.95968,-1.2124,-7.8807,0,0
0.24401,0.9593,-1.2012,-7.8076,0,0
0.2449,0.95889,-1.1899,-7.7345,0,0
0.24579,0.95848,-1.1787,-7.6614,0,0
0.24677,0.95805,-1.1674,-7.5883,0,0
0.24816,0.95753,-1.1562,-7.5152,0,0
0.24955,0.957,-1.1449,-7.4421,0,0
0.25095,0.95648,-1.1337,-7.369,0,0
0.25281,0.95577,-1.1224,-7.2959,0,0
0.25483,0.955,-1.1112,-7.2228,0,0
0.25686,0.95422,-1.1,-7.1497,0,0
0.25907,0.95337,-1.0887,-7.0766,0,0
0.26168,0.95236,-1.0775,-7.0035,0,0
0.26428,0.95135,-1.0662,-6.9304,0,0
0.26689,0.95033,-1.055,-6.8573,0,0
0.27002,0.94911,-1.0437,-6.7842,0,0
0.27324,0.94786,-1.0325,-6.7111,0,0
0.27646,0.9466,-1.0212,-6.638,0,0
0.27994,0.94523,-1.01,-6.5649,0,0
0.28381,0.94369,-0.99874,-6.4918,0,0
0.28769,0.94215,-0.98749,-6.4187,0,0
0.29157,0.9406,-0.97625,-6.3456,0,0
0.29609,0.93876,-0.965,-6.2725,0,0
0.30067,0.93689,-0.95375,-6.1994,0,0
0.30525,0.93502,-0.94251,-6.1263,0,0
0.31014,0.93299,-0.93126,-6.0532,0,0
0.31546,0.93074,-0.92002,-5.9801,0,0
0.32077,0.92849,-0.90877,-5.907,0,0
0.32608,0.92625,-0.89752,-5.8339,0,0
0.33209,0.92361,-0.88628,-5.7608,0,0
0.33816,0.92094,-0.87503,-5.6877,0,0
0.34422,0.91827,-0.86378,-5.6146,0,0
0.35061,0.91541,-0.85254,-5.5415,0,0
0.35743,0.91227,-0.84129,-5.4684,0,0
0.36425,0.90913,-0.83005,-5.3953,0,0
0.37107,0.906,-0.8188,-5.3222,0,0
0.37861,0.9024,-0.80755,-5.2491,0,0
0.38623,0.89876,-0.79631,-5.176,0,0
0.39385,0.89512,-0.78506,-5.1029,0,0
0.4018,0.89125,-0.77382,-5.0298,0,0
0.41027,0.88701,-0.76257,-4.9567,0,0
0.41874,0.88277,-0.75132,-4.8836,0,0
0.42722,0.87853,-0.74008,-4.8105,0,0
0.43641,0.87373,-0.72883,-4.7374,0,0
0.44575,0.86883,-0.71758,-4.6643,0,0
0.45509,0.86392,-0.70634,-4.5912,0,0
0.46466,0.85883,-0.69509,-4.5181,0,0
0.47484,0.85322,-0.68385,-4.445,0,0
0.48503,0.84761,-0.6726,-4.3719,0,0
0.49521,0.84201,-0.66135,-4.2988,0,0
0.50596,0.8359,-0.65011,-4.2257,0,0
0.51696,0.82958,-0.63886,-4.1526,0,0
0.52795,0.82325,-0.62762,-4.0795,0,0
0.53904,0.81685,-0.61637,-4.0064,0,0
0.55084,0.80981,-0.60512,-3.9333,0,0
0.56263,0.80278,-0.59388,-3.8602,0,0
0.57442,0.79575,-0.58263,-3.7871,0,0
0.58665,0.78834,-0.57138,-3.714,0,0
0.59928,0.78059,-0.56014,-3.6409,0,0
0.6119,0.77284,-0.54889,-3.5678,0,0
0.62453,0.76508,-0.53765,-3.4947,0,0
0.63806,0.7567,-0.5264,-3.4216,0,0
0.65167,0.74826,-0.51515,-3.3485,0,0
0.66528,0.73982,-0.50391,-3.2754,0,0
0.67897,0.73116,-0.49266,-3.2023,0,0
