"Mach","p","x","Points:0","Points:1","Points:2"
0.23963,0.96038,-1.2462,-8.1,0,0
0.24022,0.96025,-1.2349,-8.0269,0,0
0.24081,0.96013,-1.2237,-7.9538,0,0
0.24141,0.96,-1.2124,-7.8807,0,0
0.24226,0.9597,-1.2012,-7.8076,0,0
0.24329,0.95928,-1.1899,-7.7345,0,0
0.24432,0.95886,-1.1787,-7.6614,0,0
0.24543,0.95842,-1.1674,-7.5883,0,0
0.24691,0.95788,-1.1562,-7.5152,0,0
0.24839,0.95733,-1.1449,-7.4421,0,0
0.24987,0.95679,-1.1337,-7.369,0,0
0.25176,0.95608,-1.1224,-7.2959,0,0
0.25378,0.95531,-1.1112,-7.2228,0,0
0.25581,0.95454,-1.1,-7.1497,0,0
0.25801,0.95371,-1.0887,-7.0766,0,0
0.26061,0.95272,-1.0775,-7.0035,0,0
0.26321,0.95173,-1.0662,-6.9304,0,0
0.2658,0.95075,-1.055,-6.8573,0,0
0.26891,0.94955,-1.0437,-6.7842,0,0
0.27211,0.94832,-1.0325,-6.7111,0,0
0.2753,0.94709,-1.0212,-6.638,0,0
0.27874,0.94575,-1.01,-6.5649,0,0
0.28254,0.94426,-0.99874,-6.4918,0,0
0.28633,0.94276,-0.98749,-6.4187,0,0
0.29013,0.94126,-0.97625,-6.3456,0,0
0.29445,0.93949,-0.965,-6.2725,0,0
0.29883,0.93768,-0.95375,-6.1994,0,0
0.3032,0.93588,-0.94251,-6.1263,0,0
0.30792,0.93398,-0.93126,-6.0532,0,0
0.31307,0.93195,-0.92002,-5.9801,0,0
0.31823,0.92992,-0.90877,-5.907,0,0
0.32339,0.92789,-0.89752,-5.8339,0,0
0.32969,0.92516,-0.88628,-5.7608,0,0
0.33607,0.92237,-0.87503,-5.6877,0,0
0.34244,0.91959,-0.86378,-5.6146,0,0
0.34907,0.91665,-0.85254,-5.5415,0,0
0.35601,0.91349,-0.84129,-5.4684,0,0
0.36296,0.91034,-0.83005,-5.3953,0,0
0.36991,0.90719,-0.8188,-5.3222,0,0
0.37755,0.90357,-0.80755,-5.2491,0,0
0.38527,0.8999,-0.79631,-5.176,0,0
0.39298,0.89622,-0.78506,-5.1029,0,0
0.40102,0.89232,-0.77382,-5.0298,0,0
0.40959,0.88802,-0.76257,-4.9567,0,0
0.41815,0.88373,-0.75132,-4.8836,0,0
0.42672,0.87943,-0.74008,-4.8105,0,0
0.43599,0.87459,-0.72883,-4.7374,0,0
0.44541,0.86963,-0.71758,-4.6643,0,0
0.45482,0.86467,-0.70634,-4.5912,0,0
0.46447,0.85952,-0.69509,-4.5181,0,0
0.47474,0.85387,-0.68385,-4.445,0,0
0.485,0.84823,-0.6726,-4.3719,0,0
0.49527,0.84258,-0.66135,-4.2988,0,0
0.50611,0.83643,-0.65011,-4.2257,0,0
0.5172,0.83006,-0.63886,-4.1526,0,0
0.5283,0.82369,-0.62762,-4.0795,0,0
0.53949,0.81723,-0.61637,-4.0064,0,0
0.55137,0.81014,-0.60512,-3.9333,0,0
0.56326,0.80305,-0.59388,-3.8602,0,0
0.57514,0.79596,-0.58263,-3.7871,0,0
0.58744,0.7885,-0.57138,-3.714,0,0
0.60012,0.78069,-0.56014,-3.6409,0,0
0.61279,0.77288,-0.54889,-3.5678,0,0
0.62547,0.76508,-0.53765,-3.4947,0,0
0.63904,0.75664,-0.5264,-3.4216,0,0
0.65269,0.74816,-0.51515,-3.3485,0,0
0.66634,0.73967,-0.50391,-3.2754,0,0
0.68,0.73102,-0.49266,-3.2023,0,0
0.69369,0.722,-0.48142,-3.1292,0,0
0.70739,0.71298,-0.47017,-3.0561,0,0
0.72109,0.70396,-0.45892,-2.983,0,0
0.73457,0.69522,-0.44768,-2.9099,0,0
0.74795,0.68659,-0.43643,-2.8368,0,0
0.76134,0.67797,-0.42518,-2.7637,0,0
0.77474,0.66934,-0.41394,-2.6906,0,0
0.7889,0.66019,-0.40269,-2.6175,0,0
0.80305,0.65105,-0.39145,-2.5444,0,0
0.8172,0.64191,-0.3802,-2.4713,0,0
0.83163,0.63259,-0.36895,-2.3982,0,0
0.84652,0.623,-0.35771,-2.3251,0,0
0.8614,0.61341,-0.34646,-2.252,0,0
0.87629,0.60382,-0.33522,-2.1789,0,0
0.89156,0.59408,-0.32397,-2.1058,0,0
0.907,0.58427,-0.31272,-2.0327,0,0
0.92243,0.57446,-0.30148,-1.9596,0,0
0.93788,0.56465,-0.29023,-1.8865,0,0
0.95382,0.55476,-0.27898,-1.8134,0,0
0.96975,0.54487,-0.26774,-1.7403,0,0
0.98568,0.53498,-0.25649,-1.6672,0,0
1.0018,0.52507,-0.24525,-1.5941,0,0
1.0183,0.51514,-0.234,-1.521,0,0
1.0348,0.5052,-0.22275,-1.4479,0,0
1.0513,0.49526,-0.21151,-1.3748,0,0
1.0683,0.48532,-0.20026,-1.3017,0,0
1.0855,0.47537,-0.18902,-1.2286,0,0
1.1027,0.46543,-0.17777,-1.1555,0,0
1.1199,0.45548,-0.16652,-1.0824,0,0
1.1377,0.44563,-0.15528,-1.0093,0,0
1.1557,0.43579,-0.14403,-0.9362,0,0
1.1736,0.42595,-0.13278,-0.8631,0,0
1.1915,0.41616,-0.12154,-0.79,0,0
1.2093,0.40661,-0.11029,-0.7169,0,0
1.227,0.39705,-0.099046,-0.6438,0,0
1.2447,0.38749,-0.0878,-0.5707,0,0
1.2627,0.37829,-0.076554,-0.4976,0,0
1.2811,0.36955,-0.065308,-0.4245,0,0
1.2994,0.36082,-0.054062,-0.3514,0,0
1.3178,0.35208,-0.042815,-0.2783,0,0
1.3365,0.34316,-0.031569,-0.2052,0,0
1.3554,0.33416,-0.020323,-0.1321,0,0
1.3743,0.32515,-0.009077,-0.059,0,0
1.3933,0.31615,0.0021692,0.0141,0,0
1.4126,0.30798,0.013415,0.0872,0,0
1.432,0.2999,0.024661,0.1603,0,0
1.4514,0.29182,0.035908,0.2334,0,0
1.4711,0.28368,0.047154,0.3065,0,0
1.4923,0.2752,0.0584,0.3796,0,0
1.5135,0.26672,0.069646,0.4527,0,0
1.5347,0.25825,0.080892,0.5258,0,0
