"Mach","p","x","Points:0","Points:1","Points:2"
0.24142,0.96025,-1.2462,-8.1,0,0
0.24219,0.95991,-1.2349,-8.0269,0,0
0.24295,0.95957,-1.2237,-7.9538,0,0
0.24372,0.95924,-1.2124,-7.8807,0,0
0.24448,0.9589,-1.2012,-7.8076,0,0
0.24525,0.95857,-1.1899,-7.7345,0,0
0.24601,0.95823,-1.1787,-7.6614,0,0
0.24691,0.95786,-1.1674,-7.5883,0,0
0.24845,0.95733,-1.1562,-7.5152,0,0
0.24999,0.9568,-1.1449,-7.4421,0,0
0.25153,0.95627,-1.1337,-7.369,0,0
0.25306,0.95574,-1.1224,-7.2959,0,0
0.2546,0.95521,-1.1112,-7.2228,0,0
0.25614,0.95468,-1.1,-7.1497,0,0
0.25801,0.95395,-1.0887,-7.0766,0,0
0.26062,0.95274,-1.0775,-7.0035,0,0
0.26324,0.95154,-1.0662,-6.9304,0,0
0.26585,0.95034,-1.055,-6.8573,0,0
0.26904,0.94904,-1.0437,-6.7842,0,0
0.27233,0.94772,-1.0325,-6.7111,0,0
0.27562,0.9464,-1.0212,-6.638,0,0
0.27916,0.945,-1.01,-6.5649,0,0
0.28309,0.94346,-0.99874,-6.4918,0,0
0.28702,0.94193,-0.98749,-6.4187,0,0
0.29095,0.94039,-0.97625,-6.3456,0,0
0.29549,0.93856,-0.965,-6.2725,0,0
0.30009,0.93671,-0.95375,-6.1994,0,0
0.30469,0.93485,-0.94251,-6.1263,0,0
0.30958,0.93285,-0.93126,-6.0532,0,0
0.31484,0.93065,-0.92002,-5.9801,0,0
0.3201,0.92845,-0.90877,-5.907,0,0
0.32537,0.92625,-0.89752,-5.8339,0,0
0.33116,0.92371,-0.88628,-5.7608,0,0
0.33699,0.92114,-0.87503,-5.6877,0,0
0.34282,0.91857,-0.86378,-5.6146,0,0
0.34885,0.91592,-0.85254,-5.5415,0,0
0.35514,0.91314,-0.84129,-5.4684,0,0
0.36143,0.91037,-0.83005,-5.3953,0,0
0.36772,0.90759,-0.8188,-5.3222,0,0
0.37478,0.90437,-0.80755,-5.2491,0,0
0.38218,0.901,-0.79631,-5.176,0,0
0.3911,0.89697,-0.78506,-5.1029,0,0
0.40023,0.8926,-0.77382,-5.0298,0,0
0.40969,0.88768,-0.76257,-4.9567,0,0
0.41851,0.88322,-0.75132,-4.8836,0,0
0.42691,0.87907,-0.74008,-4.8105,0,0
0.43586,0.87455,-0.72883,-4.7374,0,0
0.44495,0.86992,-0.71758,-4.6643,0,0
0.45467,0.86476,-0.70634,-4.5912,0,0
