"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25311,7.7547e+05,0.96934,-1.2462,1,0,-8.1,0,0
0.25397,7.7523e+05,0.96904,-1.2349,1,0.0731,-8.0269,0,0
0.25484,7.7499e+05,0.96874,-1.2237,1,0.1462,-7.9538,0,0
0.2557,7.7476e+05,0.96844,-1.2124,1,0.2193,-7.8807,0,0
0.25656,7.7452e+05,0.96815,-1.2012,1,0.2924,-7.8076,0,0
0.25743,7.7428e+05,0.96785,-1.1899,1,0.3655,-7.7345,0,0
0.25829,7.7404e+05,0.96755,-1.1787,1,0.4386,-7.6614,0,0
0.25933,7.7377e+05,0.96721,-1.1674,1,0.5117,-7.5883,0,0
0.26119,7.7332e+05,0.96665,-1.1562,1,0.5848,-7.5152,0,0
0.26305,7.7287e+05,0.96609,-1.1449,1,0.6579,-7.4421,0,0
0.26491,7.7242e+05,0.96553,-1.1337,1,0.731,-7.369,0,0
0.26677,7.7197e+05,0.96497,-1.1224,1,0.8041,-7.2959,0,0
0.26863,7.7153e+05,0.96441,-1.1112,1,0.8772,-7.2228,0,0
0.27049,7.7108e+05,0.96385,-1.1,1,0.9503,-7.1497,0,0
0.27272,7.7053e+05,0.96316,-1.0887,1,1.0234,-7.0766,0,0
0.27581,7.6977e+05,0.96221,-1.0775,1,1.0965,-7.0035,0,0
0.27889,7.69e+05,0.96125,-1.0662,1,1.1696,-6.9304,0,0
0.28198,7.6824e+05,0.96029,-1.055,1,1.2427,-6.8573,0,0
0.28506,7.6747e+05,0.95934,-1.0437,1,1.3158,-6.7842,0,0
0.28815,7.667e+05,0.95838,-1.0325,1,1.3889,-6.7111,0,0
0.29123,7.6594e+05,0.95742,-1.0212,1,1.462,-6.638,0,0
0.29487,7.6502e+05,0.95628,-1.01,1,1.5351,-6.5649,0,0
0.29932,7.6389e+05,0.95486,-0.99874,1,1.6082,-6.4918,0,0
0.30376,7.6276e+05,0.95344,-0.98749,1,1.6813,-6.4187,0,0
0.30821,7.6162e+05,0.95203,-0.97625,1,1.7544,-6.3456,0,0
0.31266,7.6049e+05,0.95061,-0.965,1,1.8275,-6.2725,0,0
0.31711,7.5935e+05,0.94919,-0.95375,1,1.9006,-6.1994,0,0
0.32156,7.5822e+05,0.94777,-0.94251,1,1.9737,-6.1263,0,0
0.32665,7.5687e+05,0.94609,-0.93126,1,2.0468,-6.0532,0,0
0.33257,7.5525e+05,0.94406,-0.92002,1,2.1199,-5.9801,0,0
0.3385,7.5363e+05,0.94203,-0.90877,1,2.193,-5.907,0,0
0.34442,7.5201e+05,0.94001,-0.89752,1,2.2661,-5.8339,0,0
0.35035,7.5039e+05,0.93798,-0.88628,1,2.3392,-5.7608,0,0
0.35627,7.4876e+05,0.93595,-0.87503,1,2.4123,-5.6877,0,0
0.3622,7.4714e+05,0.93393,-0.86378,1,2.4854,-5.6146,0,0
0.3688,7.4525e+05,0.93157,-0.85254,1,2.5585,-5.5415,0,0
0.37632,7.43e+05,0.92875,-0.84129,1,2.6316,-5.4684,0,0
0.38384,7.4075e+05,0.92594,-0.83005,1,2.7047,-5.3953,0,0
0.39135,7.385e+05,0.92313,-0.8188,1,2.7778,-5.3222,0,0
0.39887,7.3625e+05,0.92031,-0.80755,1,2.8509,-5.2491,0,0
0.40639,7.34e+05,0.9175,-0.79631,1,2.924,-5.176,0,0
0.41391,7.3175e+05,0.91469,-0.78506,1,2.9971,-5.1029,0,0
0.42207,7.292e+05,0.9115,-0.77382,1,3.0702,-5.0298,0,0
0.4313,7.2615e+05,0.90769,-0.76257,1,3.1433,-4.9567,0,0
0.44052,7.2311e+05,0.90388,-0.75132,1,3.2164,-4.8836,0,0
0.44975,7.2006e+05,0.90008,-0.74008,1,3.2895,-4.8105,0,0
0.45897,7.1702e+05,0.89627,-0.72883,1,3.3626,-4.7374,0,0
0.4682,7.1397e+05,0.89246,-0.71758,1,3.4357,-4.6643,0,0
0.47743,7.1093e+05,0.88866,-0.70634,1,3.5088,-4.5912,0,0
0.48712,7.0762e+05,0.88452,-0.69509,1,3.5819,-4.5181,0,0
0.49803,7.036e+05,0.8795,-0.68385,1,3.655,-4.445,0,0
0.50895,6.9959e+05,0.87449,-0.6726,1,3.7281,-4.3719,0,0
0.51986,6.9558e+05,0.86947,-0.66135,1,3.8012,-4.2988,0,0
0.53077,6.9156e+05,0.86446,-0.65011,1,3.8743,-4.2257,0,0
0.54169,6.8755e+05,0.85944,-0.63886,1,3.9474,-4.1526,0,0
0.5526,6.8354e+05,0.85442,-0.62762,1,4.0205,-4.0795,0,0
0.56369,6.794e+05,0.84925,-0.61637,1,4.0936,-4.0064,0,0
0.57607,6.7434e+05,0.84292,-0.60512,1,4.1667,-3.9333,0,0
0.58846,6.6928e+05,0.83659,-0.59388,1,4.2398,-3.8602,0,0
0.60084,6.6421e+05,0.83027,-0.58263,1,4.3129,-3.7871,0,0
0.61322,6.5915e+05,0.82394,-0.57138,1,4.386,-3.714,0,0
0.6256,6.5409e+05,0.81761,-0.56014,1,4.4591,-3.6409,0,0
0.63798,6.4903e+05,0.81128,-0.54889,1,4.5322,-3.5678,0,0
0.65036,6.4396e+05,0.80495,-0.53765,1,4.6053,-3.4947,0,0
0.66379,6.3804e+05,0.79754,-0.5264,1,4.6784,-3.4216,0,0
0.6773,6.3204e+05,0.79004,-0.51515,1,4.7515,-3.3485,0,0
0.69081,6.2604e+05,0.78254,-0.50391,1,4.8246,-3.2754,0,0
0.70432,6.2004e+05,0.77504,-0.49266,1,4.8977,-3.2023,0,0
