"Mach","p","x","Points:0","Points:1","Points:2"
1.6722,0.21143,0.14837,0.9644,0,0
1.695,0.20442,0.15962,1.0375,0,0
1.7179,0.19749,0.17086,1.1106,0,0
1.7393,0.19112,0.18211,1.1837,0,0
1.7617,0.18488,0.19335,1.2568,0,0
1.7839,0.17866,0.2046,1.3299,0,0
1.805,0.17295,0.21585,1.403,0,0
1.8275,0.16716,0.22709,1.4761,0,0
1.8519,0.16095,0.23834,1.5492,0,0
1.8764,0.15496,0.24958,1.6223,0,0
1.9024,0.14903,0.26083,1.6954,0,0
1.9326,0.14223,0.27208,1.7685,0,0
1.9635,0.13555,0.28332,1.8416,0,0
1.9906,0.12987,0.29457,1.9147,0,0
2.0181,0.12475,0.30582,1.9878,0,0
2.0464,0.11968,0.31706,2.0609,0,0
2.0648,0.11625,0.32831,2.134,0,0
2.0693,0.11467,0.33955,2.2071,0,0
2.0727,0.11353,0.3508,2.2802,0,0
2.0733,0.11346,0.36205,2.3533,0,0
2.0738,0.11339,0.37329,2.4264,0,0
2.0743,0.11332,0.38454,2.4995,0,0
2.0734,0.11348,0.39578,2.5726,0,0
2.0704,0.11397,0.40703,2.6457,0,0
2.0633,0.11514,0.41828,2.7188,0,0
2.0467,0.118,0.42952,2.7919,0,0
2.0179,0.12327,0.44077,2.865,0,0
1.9663,0.13346,0.45202,2.9381,0,0
1.9092,0.1458,0.46326,3.0112,0,0
1.8535,0.15871,0.47451,3.0843,0,0
1.8042,0.17102,0.48575,3.1574,0,0
1.7687,0.18069,0.497,3.2305,0,0
1.7451,0.18701,0.50825,3.3036,0,0
1.7355,0.1902,0.51949,3.3767,0,0
1.7319,0.19153,0.53074,3.4498,0,0
1.7309,0.19209,0.54198,3.5229,0,0
1.7305,0.19224,0.55323,3.596,0,0
1.73,0.1923,0.56448,3.6691,0,0
1.7329,0.1915,0.57572,3.7422,0,0
1.737,0.19041,0.58697,3.8153,0,0
1.7423,0.18898,0.59822,3.8884,0,0
1.7482,0.18743,0.60946,3.9615,0,0
1.757,0.18499,0.62071,4.0346,0,0
1.7668,0.1823,0.63195,4.1077,0,0
1.7783,0.17901,0.6432,4.1808,0,0
1.7905,0.17567,0.65445,4.2539,0,0
1.8045,0.172,0.66569,4.327,0,0
1.8201,0.16802,0.67694,4.4001,0,0
1.8362,0.16385,0.68818,4.4732,0,0
1.8516,0.16002,0.69943,4.5463,0,0
1.8673,0.15617,0.71068,4.6194,0,0
1.8832,0.15235,0.72192,4.6925,0,0
1.9004,0.14839,0.73317,4.7656,0,0
1.9192,0.14419,0.74442,4.8387,0,0
1.9394,0.13976,0.75566,4.9118,0,0
1.961,0.13518,0.76691,4.9849,0,0
1.9839,0.13048,0.77815,5.058,0,0
2.0082,0.12569,0.7894,5.1311,0,0
2.0346,0.12072,0.80065,5.2042,0,0
2.061,0.11588,0.81189,5.2773,0,0
2.0851,0.11138,0.82314,5.3504,0,0
2.1087,0.10745,0.83438,5.4235,0,0
2.1328,0.10333,0.84563,5.4966,0,0
2.1562,0.09968,0.85688,5.5697,0,0
2.1818,0.0958,0.86812,5.6428,0,0
2.2088,0.091877,0.87937,5.7159,0,0
2.2363,0.088058,0.89062,5.789,0,0
2.2625,0.084435,0.90186,5.8621,0,0
2.288,0.081178,0.91311,5.9352,0,0
2.3139,0.077995,0.92435,6.0083,0,0
2.3391,0.075052,0.9356,6.0814,0,0
2.364,0.072196,0.94685,6.1545,0,0
2.3894,0.069491,0.95809,6.2276,0,0
2.4149,0.066848,0.96934,6.3007,0,0
2.4409,0.064298,0.98058,6.3738,0,0
2.4671,0.061791,0.99183,6.4469,0,0
2.4902,0.059576,1.0031,6.52,0,0
2.5115,0.057523,1.0143,6.5931,0,0
2.5315,0.055733,1.0256,6.6662,0,0
2.5508,0.054113,1.0368,6.7393,0,0
2.5703,0.052533,1.0481,6.8124,0,0
2.5902,0.050985,1.0593,6.8855,0,0
2.6099,0.049504,1.0706,6.9586,0,0
2.6295,0.048086,1.0818,7.0317,0,0
2.6493,0.046678,1.093,7.1048,0,0
2.6693,0.04528,1.1043,7.1779,0,0
2.6893,0.043953,1.1155,7.251,0,0
2.7094,0.042726,1.1268,7.3241,0,0
2.7295,0.0415,1.138,7.3972,0,0
2.7497,0.040274,1.1493,7.4703,0,0
2.7688,0.039112,1.1605,7.5434,0,0
2.7855,0.038109,1.1718,7.6165,0,0
2.8023,0.037107,1.183,7.6896,0,0
2.819,0.036104,1.1943,7.7627,0,0
2.8355,0.035137,1.2055,7.8358,0,0
2.8508,0.034358,1.2168,7.9089,0,0
2.8662,0.033579,1.228,7.982,0,0
2.8815,0.0328,1.2392,8.0551,0,0
2.8968,0.032023,1.2505,8.1282,0,0
2.9096,0.031436,1.2617,8.2013,0,0
2.9225,0.03085,1.273,8.2744,0,0
2.9354,0.030263,1.2842,8.3475,0,0
2.9482,0.029676,1.2955,8.4206,0,0
2.9619,0.029131,1.3067,8.4937,0,0
2.9757,0.028592,1.318,8.5668,0,0
2.9895,0.028053,1.3292,8.6399,0,0
3.0033,0.027514,1.3405,8.713,0,0
3.0171,0.026975,1.3517,8.7861,0,0
3.0309,0.026436,1.363,8.8592,0,0
3.0447,0.025897,1.3742,8.9323,0,0
3.0586,0.025358,1.3854,9.0054,0,0
3.0731,0.02484,1.3967,9.0785,0,0
3.0885,0.024344,1.4079,9.1516,0,0
3.1038,0.023847,1.4192,9.2247,0,0
3.1192,0.023351,1.4304,9.2978,0,0
3.1345,0.022854,1.4417,9.3709,0,0
3.1498,0.022358,1.4529,9.444,0,0
3.1652,0.021861,1.4642,9.5171,0,0
3.1805,0.021365,1.4754,9.5902,0,0
3.1961,0.020868,1.4867,9.6633,0,0
3.2133,0.020375,1.4979,9.7364,0,0
3.2306,0.019881,1.5092,9.8095,0,0
3.2479,0.019388,1.5204,9.8826,0,0
3.2652,0.018894,1.5316,9.9557,0,0
3.2837,0.018414,1.5429,10.029,0,0
3.3024,0.017935,1.5541,10.102,0,0
3.3211,0.017456,1.5654,10.175,0,0
3.3398,0.016978,1.5766,10.248,0,0
3.3594,0.01652,1.5879,10.321,0,0
3.3794,0.016077,1.5991,10.394,0,0
3.3994,0.015633,1.6104,10.467,0,0
3.4194,0.015189,1.6216,10.54,0,0
3.4404,0.014741,1.6329,10.614,0,0
3.4632,0.014283,1.6441,10.687,0,0
3.4864,0.013824,1.6554,10.76,0,0
3.5114,0.01336,1.6666,10.833,0,0
3.5365,0.012898,1.6778,10.906,0,0
3.5619,0.01246,1.6891,10.979,0,0
3.5873,0.012023,1.7003,11.052,0,0
3.6157,0.011572,1.7116,11.125,0,0
3.647,0.011085,1.7228,11.198,0,0
3.6828,0.010555,1.7341,11.271,0,0
3.7276,0.0099217,1.7453,11.345,0,0
3.7747,0.0092713,1.7566,11.418,0,0
0.41061,0.1577,1.7678,11.491,0,0
0.34768,0.15959,1.7791,11.564,0,0
0.3092,0.16236,1.7903,11.637,0,0
0.28558,0.16415,1.8016,11.71,0,0
0.26889,0.16545,1.8128,11.783,0,0
0.25734,0.16697,1.824,11.856,0,0
0.24803,0.16781,1.8353,11.929,0,0
0.23872,0.16865,1.8465,12.002,0,0
0.22941,0.16949,1.8578,12.076,0,0
0.2201,0.17033,1.869,12.149,0,0
0.21085,0.17085,1.8803,12.222,0,0
0.20161,0.17131,1.8915,12.295,0,0
0.19238,0.17176,1.9028,12.368,0,0
0.18314,0.17221,1.914,12.441,0,0
0.17412,0.17253,1.9253,12.514,0,0
0.16534,0.1727,1.9365,12.587,0,0
0.15656,0.17287,1.9478,12.66,0,0
0.14778,0.17303,1.959,12.733,0,0
0.1393,0.17318,1.9702,12.807,0,0
0.13303,0.1732,1.9815,12.88,0,0
0.12676,0.17322,1.9927,12.953,0,0
0.12049,0.17325,2.004,13.026,0,0
0.11422,0.17327,2.0152,13.099,0,0
0.11099,0.17341,2.0265,13.172,0,0
0.10882,0.17359,2.0377,13.245,0,0
0.10666,0.17377,2.049,13.318,0,0
0.10449,0.17396,2.0602,13.391,0,0
0.10305,0.1743,2.0715,13.464,0,0
0.10288,0.17495,2.0827,13.538,0,0
0.10272,0.17559,2.094,13.611,0,0
0.10256,0.17623,2.1052,13.684,0,0
0.1024,0.17687,2.1164,13.757,0,0
0.10335,0.17763,2.1277,13.83,0,0
0.10437,0.1784,2.1389,13.903,0,0
0.10538,0.17917,2.1502,13.976,0,0
0.1064,0.17994,2.1614,14.049,0,0
0.1081,0.18088,2.1727,14.122,0,0
0.11039,0.18198,2.1839,14.195,0,0
0.11268,0.18307,2.1952,14.269,0,0
0.11497,0.18417,2.2064,14.342,0,0
0.11726,0.18527,2.2177,14.415,0,0
0.11955,0.18636,2.2289,14.488,0,0
0.12185,0.18746,2.2402,14.561,0,0
0.12414,0.18855,2.2514,14.634,0,0
0.12643,0.18965,2.2626,14.707,0,0
0.13017,0.19043,2.2739,14.78,0,0
0.13471,0.19104,2.2851,14.853,0,0
0.13926,0.19165,2.2964,14.926,0,0
0.1438,0.19225,2.3076,15,0,0
0.14834,0.19286,2.3189,15.073,0,0
0.15289,0.19347,2.3301,15.146,0,0
0.15743,0.19407,2.3414,15.219,0,0
0.16197,0.19468,2.3526,15.292,0,0
0.16652,0.19529,2.3639,15.365,0,0
0.17311,0.19548,2.3751,15.438,0,0
0.1806,0.19548,2.3864,15.511,0,0
0.1881,0.19548,2.3976,15.584,0,0
0.1956,0.19548,2.4088,15.657,0,0
0.20309,0.19548,2.4201,15.731,0,0
0.21059,0.19549,2.4313,15.804,0,0
0.21809,0.19549,2.4426,15.877,0,0
0.22559,0.19549,2.4538,15.95,0,0
0.23308,0.19549,2.4651,16.023,0,0
0.24224,0.19527,2.4763,16.096,0,0
0.25217,0.19494,2.4876,16.169,0,0
0.2621,0.19461,2.4988,16.242,0,0
0.27203,0.19429,2.5101,16.315,0,0
0.28196,0.19396,2.5213,16.389,0,0
0.29189,0.19363,2.5326,16.462,0,0
0.30182,0.19331,2.5438,16.535,0,0
0.31175,0.19298,2.555,16.608,0,0
0.32168,0.19265,2.5663,16.681,0,0
0.33263,0.1922,2.5775,16.754,0,0
0.34425,0.19168,2.5888,16.827,0,0
0.35586,0.19115,2.6,16.9,0,0
0.36748,0.19062,2.6113,16.973,0,0
0.37909,0.1901,2.6225,17.046,0,0
0.39071,0.18957,2.6338,17.119,0,0
0.40232,0.18905,2.645,17.193,0,0
0.41394,0.18852,2.6563,17.266,0,0
0.42555,0.18799,2.6675,17.339,0,0
0.43777,0.18731,2.6788,17.412,0,0
0.45066,0.18644,2.69,17.485,0,0
0.46355,0.18558,2.7012,17.558,0,0
0.47643,0.18472,2.7125,17.631,0,0
0.48932,0.18386,2.7237,17.704,0,0
0.5022,0.18299,2.735,17.777,0,0
0.51509,0.18213,2.7462,17.851,0,0
0.52798,0.18127,2.7575,17.924,0,0
0.54086,0.1804,2.7687,17.997,0,0
0.55396,0.17943,2.78,18.07,0,0
0.56759,0.17819,2.7912,18.143,0,0
0.58122,0.17694,2.8025,18.216,0,0
0.59485,0.1757,2.8137,18.289,0,0
0.60848,0.17445,2.825,18.362,0,0
0.62211,0.17321,2.8362,18.435,0,0
0.63574,0.17196,2.8474,18.508,0,0
0.64937,0.17072,2.8587,18.581,0,0
0.663,0.16947,2.8699,18.655,0,0
0.67664,0.16822,2.8812,18.728,0,0
0.69051,0.16668,2.8924,18.801,0,0
0.70438,0.16513,2.9037,18.874,0,0
0.71825,0.16359,2.9149,18.947,0,0
0.73212,0.16205,2.9262,19.02,0,0
0.74599,0.16051,2.9374,19.093,0,0
0.75986,0.15897,2.9487,19.166,0,0
0.77373,0.15743,2.9599,19.239,0,0
0.7876,0.15589,2.9712,19.312,0,0
0.80147,0.15435,2.9824,19.386,0,0
0.81516,0.15273,2.9936,19.459,0,0
0.82878,0.15107,3.0049,19.532,0,0
0.84239,0.14942,3.0161,19.605,0,0
0.85601,0.14776,3.0274,19.678,0,0
0.86962,0.14611,3.0386,19.751,0,0
0.88324,0.14445,3.0499,19.824,0,0
0.89685,0.1428,3.0611,19.897,0,0
0.91047,0.14114,3.0724,19.97,0,0
0.92408,0.13949,3.0836,20.043,0,0
0.9375,0.13785,3.0949,20.117,0,0
0.95049,0.13624,3.1061,20.19,0,0
0.96348,0.13464,3.1174,20.263,0,0
0.97647,0.13303,3.1286,20.336,0,0
0.98946,0.13142,3.1398,20.409,0,0
1.0025,0.12981,3.1511,20.482,0,0
1.0154,0.12821,3.1623,20.555,0,0
1.0284,0.1266,3.1736,20.628,0,0
1.0414,0.12499,3.1848,20.701,0,0
1.0544,0.12338,3.1961,20.774,0,0
1.0667,0.12189,3.2073,20.848,0,0
1.079,0.12041,3.2186,20.921,0,0
1.0912,0.11893,3.2298,20.994,0,0
1.1034,0.11746,3.2411,21.067,0,0
1.1156,0.11598,3.2523,21.14,0,0
1.1278,0.1145,3.2636,21.213,0,0
1.1401,0.11303,3.2748,21.286,0,0
1.1523,0.11155,3.286,21.359,0,0
1.1645,0.11007,3.2973,21.432,0,0
1.1764,0.10866,3.3085,21.505,0,0
1.1877,0.10737,3.3198,21.579,0,0
1.1989,0.10607,3.331,21.652,0,0
1.2102,0.10478,3.3423,21.725,0,0
1.2214,0.10348,3.3535,21.798,0,0
1.2327,0.10219,3.3648,21.871,0,0
1.244,0.10089,3.376,21.944,0,0
1.2552,0.099597,3.3873,22.017,0,0
1.2665,0.098302,3.3985,22.09,0,0
1.2777,0.097007,3.4098,22.163,0,0
1.288,0.095886,3.421,22.236,0,0
1.298,0.094812,3.4322,22.31,0,0
1.3081,0.093737,3.4435,22.383,0,0
1.3181,0.092663,3.4547,22.456,0,0
1.3281,0.091588,3.466,22.529,0,0
1.3381,0.090514,3.4772,22.602,0,0
1.3482,0.08944,3.4885,22.675,0,0
1.3582,0.088365,3.4997,22.748,0,0
1.3682,0.087291,3.511,22.821,0,0
1.378,0.086253,3.5222,22.894,0,0
1.3862,0.085435,3.5335,22.968,0,0
1.3944,0.084617,3.5447,23.041,0,0
1.4027,0.083799,3.556,23.114,0,0
1.4109,0.082981,3.5672,23.187,0,0
1.4192,0.082163,3.5784,23.26,0,0
1.4274,0.081345,3.5897,23.333,0,0
1.4357,0.080526,3.6009,23.406,0,0
1.4439,0.079708,3.6122,23.479,0,0
1.4521,0.07889,3.6234,23.552,0,0
1.4594,0.078224,3.6347,23.625,0,0
1.4655,0.077756,3.6459,23.698,0,0
1.4715,0.077288,3.6572,23.772,0,0
1.4776,0.07682,3.6684,23.845,0,0
1.4837,0.076352,3.6797,23.918,0,0
1.4897,0.075884,3.6909,23.991,0,0
1.4958,0.075416,3.7022,24.064,0,0
1.5018,0.074948,3.7134,24.137,0,0
1.5079,0.074481,3.7246,24.21,0,0
1.5139,0.074013,3.7359,24.283,0,0
1.5188,0.073738,3.7471,24.356,0,0
1.523,0.073563,3.7584,24.43,0,0
1.5272,0.073389,3.7696,24.503,0,0
1.5314,0.073214,3.7809,24.576,0,0
1.5356,0.073039,3.7921,24.649,0,0
1.5399,0.072865,3.8034,24.722,0,0
1.5441,0.07269,3.8146,24.795,0,0
1.5483,0.072516,3.8259,24.868,0,0
1.5525,0.072341,3.8371,24.941,0,0
1.5567,0.072167,3.8484,25.014,0,0
1.5599,0.072062,3.8596,25.087,0,0
1.5628,0.071974,3.8708,25.16,0,0
1.5657,0.071885,3.8821,25.234,0,0
1.5687,0.071797,3.8933,25.307,0,0
1.5716,0.071708,3.9046,25.38,0,0
1.5745,0.071619,3.9158,25.453,0,0
1.5774,0.071531,3.9271,25.526,0,0
1.5804,0.071442,3.9383,25.599,0,0
1.5833,0.071354,3.9496,25.672,0,0
1.5862,0.071265,3.9608,25.745,0,0
1.5879,0.071294,3.9721,25.818,0,0
1.5894,0.071335,3.9833,25.892,0,0
1.5909,0.071376,3.9946,25.965,0,0
1.5924,0.071418,4.0058,26.038,0,0
1.5939,0.071459,4.017,26.111,0,0
1.5955,0.0715,4.0283,26.184,0,0
1.597,0.071541,4.0395,26.257,0,0
1.5985,0.071583,4.0508,26.33,0,0
1.6,0.071624,4.062,26.403,0,0
1.6015,0.071665,4.0733,26.476,0,0
1.5967,0.072242,4.0845,26.549,0,0
1.5915,0.072859,4.0958,26.622,0,0
1.5862,0.073477,4.107,26.696,0,0
1.5809,0.074095,4.1183,26.769,0,0
1.5756,0.074712,4.1295,26.842,0,0
1.5703,0.07533,4.1408,26.915,0,0
1.5651,0.075947,4.152,26.988,0,0
1.5598,0.076565,4.1632,27.061,0,0
1.5545,0.077182,4.1745,27.134,0,0
1.5492,0.0778,4.1857,27.207,0,0
1.5398,0.079003,4.197,27.28,0,0
1.5298,0.080282,4.2082,27.354,0,0
1.5198,0.081562,4.2195,27.427,0,0
1.5098,0.082841,4.2307,27.5,0,0
1.4998,0.08412,4.242,27.573,0,0
1.4898,0.0854,4.2532,27.646,0,0
1.4798,0.086679,4.2645,27.719,0,0
1.4698,0.087958,4.2757,27.792,0,0
1.4598,0.089238,4.287,27.865,0,0
1.4498,0.090517,4.2982,27.938,0,0
1.4373,0.092354,4.3094,28.011,0,0
1.4241,0.094355,4.3207,28.084,0,0
1.4108,0.096357,4.3319,28.158,0,0
1.3976,0.098359,4.3432,28.231,0,0
1.3844,0.10036,4.3544,28.304,0,0
1.3711,0.10236,4.3657,28.377,0,0
