"Mach","p","x","Points:0","Points:1","Points:2"
0.2393,0.96096,-1.2462,-8.1,0,0
0.24016,0.96058,-1.2349,-8.0269,0,0
0.24101,0.96019,-1.2237,-7.9538,0,0
0.24186,0.9598,-1.2124,-7.8807,0,0
0.24271,0.95942,-1.2012,-7.8076,0,0
0.24356,0.95903,-1.1899,-7.7345,0,0
0.24442,0.95865,-1.1787,-7.6614,0,0
0.24543,0.9582,-1.1674,-7.5883,0,0
0.24723,0.95748,-1.1562,-7.5152,0,0
0.24903,0.95677,-1.1449,-7.4421,0,0
0.25084,0.95605,-1.1337,-7.369,0,0
0.25264,0.95533,-1.1224,-7.2959,0,0
0.25444,0.95461,-1.1112,-7.2228,0,0
0.25624,0.95389,-1.1,-7.1497,0,0
0.2584,0.95303,-1.0887,-7.0766,0,0
0.26138,0.95182,-1.0775,-7.0035,0,0
0.26435,0.95061,-1.0662,-6.9304,0,0
0.26733,0.9494,-1.055,-6.8573,0,0
0.2703,0.94819,-1.0437,-6.7842,0,0
0.27328,0.94698,-1.0325,-6.7111,0,0
0.27625,0.94577,-1.0212,-6.638,0,0
0.27976,0.94432,-1.01,-6.5649,0,0
0.28405,0.94251,-0.99874,-6.4918,0,0
0.28835,0.9407,-0.98749,-6.4187,0,0
0.29264,0.93889,-0.97625,-6.3456,0,0
0.29693,0.93708,-0.965,-6.2725,0,0
0.30123,0.93527,-0.95375,-6.1994,0,0
0.30552,0.93347,-0.94251,-6.1263,0,0
0.31044,0.93132,-0.93126,-6.0532,0,0
0.31618,0.92875,-0.92002,-5.9801,0,0
0.32192,0.92617,-0.90877,-5.907,0,0
0.32766,0.9236,-0.89752,-5.8339,0,0
0.3334,0.92102,-0.88628,-5.7608,0,0
0.33914,0.91845,-0.87503,-5.6877,0,0
0.34488,0.91587,-0.86378,-5.6146,0,0
0.35127,0.9129,-0.85254,-5.5415,0,0
0.35854,0.9094,-0.84129,-5.4684,0,0
0.36581,0.9059,-0.83005,-5.3953,0,0
0.37307,0.9024,-0.8188,-5.3222,0,0
0.38034,0.8989,-0.80755,-5.2491,0,0
0.38761,0.8954,-0.79631,-5.176,0,0
0.39488,0.89189,-0.78506,-5.1029,0,0
0.40275,0.88797,-0.77382,-5.0298,0,0
0.41161,0.88335,-0.76257,-4.9567,0,0
0.42048,0.87874,-0.75132,-4.8836,0,0
0.42934,0.87412,-0.74008,-4.8105,0,0
0.4382,0.86951,-0.72883,-4.7374,0,0
0.44706,0.86489,-0.71758,-4.6643,0,0
0.45592,0.86028,-0.70634,-4.5912,0,0
0.46517,0.85531,-0.69509,-4.5181,0,0
0.47544,0.8494,-0.68385,-4.445,0,0
0.48571,0.8435,-0.6726,-4.3719,0,0
0.49597,0.83759,-0.66135,-4.2988,0,0
0.50624,0.83169,-0.65011,-4.2257,0,0
0.51651,0.82578,-0.63886,-4.1526,0,0
0.52677,0.81988,-0.62762,-4.0795,0,0
0.53718,0.81387,-0.61637,-4.0064,0,0
0.54862,0.80709,-0.60512,-3.9333,0,0
0.56005,0.8003,-0.59388,-3.8602,0,0
0.57149,0.79352,-0.58263,-3.7871,0,0
0.58293,0.78674,-0.57138,-3.714,0,0
0.59437,0.77996,-0.56014,-3.6409,0,0
0.6058,0.77317,-0.54889,-3.5678,0,0
0.61724,0.76639,-0.53765,-3.4947,0,0
0.63037,0.75813,-0.5264,-3.4216,0,0
0.64364,0.74974,-0.51515,-3.3485,0,0
0.65691,0.74135,-0.50391,-3.2754,0,0
0.67055,0.73267,-0.49266,-3.2023,0,0
0.68506,0.72331,-0.48142,-3.1292,0,0
0.69957,0.71395,-0.47017,-3.0561,0,0
0.71407,0.7046,-0.45892,-2.983,0,0
0.72878,0.69515,-0.44768,-2.9099,0,0
0.74358,0.68565,-0.43643,-2.8368,0,0
0.75838,0.67615,-0.42518,-2.7637,0,0
0.77319,0.66666,-0.41394,-2.6906,0,0
0.78807,0.65714,-0.40269,-2.6175,0,0
0.80295,0.64763,-0.39145,-2.5444,0,0
0.81783,0.63811,-0.3802,-2.4713,0,0
0.83282,0.62854,-0.36895,-2.3982,0,0
0.84799,0.61889,-0.35771,-2.3251,0,0
0.86315,0.60924,-0.34646,-2.252,0,0
0.87832,0.59959,-0.33522,-2.1789,0,0
0.89378,0.58985,-0.32397,-2.1058,0,0
0.90935,0.58007,-0.31272,-2.0327,0,0
0.92493,0.57028,-0.30148,-1.9596,0,0
0.94053,0.5605,-0.29023,-1.8865,0,0
0.95661,0.5506,-0.27898,-1.8134,0,0
0.9727,0.5407,-0.26774,-1.7403,0,0
0.98879,0.53081,-0.25649,-1.6672,0,0
1.0051,0.52089,-0.24525,-1.5941,0,0
1.0217,0.51092,-0.234,-1.521,0,0
1.0384,0.50096,-0.22275,-1.4479,0,0
1.055,0.491,-0.21151,-1.3748,0,0
1.0721,0.48105,-0.20026,-1.3017,0,0
1.0893,0.47111,-0.18902,-1.2286,0,0
1.1066,0.46118,-0.17777,-1.1555,0,0
1.1238,0.45124,-0.16652,-1.0824,0,0
1.1417,0.44139,-0.15528,-1.0093,0,0
1.1597,0.43154,-0.14403,-0.9362,0,0
1.1776,0.42169,-0.13278,-0.8631,0,0
1.1956,0.41188,-0.12154,-0.79,0,0
1.2143,0.40223,-0.11029,-0.7169,0,0
1.2329,0.39258,-0.099046,-0.6438,0,0
1.2515,0.38292,-0.0878,-0.5707,0,0
1.2704,0.37342,-0.076554,-0.4976,0,0
1.2896,0.3641,-0.065308,-0.4245,0,0
1.3088,0.35479,-0.054062,-0.3514,0,0
1.328,0.34547,-0.042815,-0.2783,0,0
1.3474,0.3365,-0.031569,-0.2052,0,0
1.367,0.32768,-0.020323,-0.1321,0,0
1.3865,0.31886,-0.009077,-0.059,0,0
1.4061,0.31004,0.0021692,0.0141,0,0
1.4258,0.30176,0.013415,0.0872,0,0
1.4455,0.29353,0.024661,0.1603,0,0
1.4652,0.28531,0.035908,0.2334,0,0
1.4849,0.27717,0.047154,0.3065,0,0
1.5047,0.26963,0.0584,0.3796,0,0
1.5245,0.26208,0.069646,0.4527,0,0
1.5443,0.25454,0.080892,0.5258,0,0
1.564,0.24725,0.092138,0.5989,0,0
1.5836,0.24046,0.10338,0.672,0,0
1.6031,0.23367,0.11463,0.7451,0,0
1.6227,0.22688,0.12588,0.8182,0,0
1.642,0.22056,0.13712,0.8913,0,0
1.6609,0.21465,0.14837,0.9644,0,0
1.6798,0.20873,0.15962,1.0375,0,0
1.6987,0.20281,0.17086,1.1106,0,0
1.7168,0.19752,0.18211,1.1837,0,0
1.7346,0.19248,0.19335,1.2568,0,0
1.7523,0.18745,0.2046,1.3299,0,0
1.7701,0.18241,0.21585,1.403,0,0
1.7864,0.17818,0.22709,1.4761,0,0
1.8025,0.17405,0.23834,1.5492,0,0
1.8185,0.16993,0.24958,1.6223,0,0
1.8345,0.16583,0.26083,1.6954,0,0
1.8475,0.16274,0.27208,1.7685,0,0
1.8605,0.15965,0.28332,1.8416,0,0
1.8735,0.15656,0.29457,1.9147,0,0
1.8855,0.15369,0.30582,1.9878,0,0
1.8922,0.15192,0.31706,2.0609,0,0
1.899,0.15015,0.32831,2.134,0,0
1.9057,0.14839,0.33955,2.2071,0,0
1.9107,0.14694,0.3508,2.2802,0,0
1.9112,0.14629,0.36205,2.3533,0,0
1.9118,0.14565,0.37329,2.4264,0,0
1.9123,0.145,0.38454,2.4995,0,0
1.9127,0.14463,0.39578,2.5726,0,0
1.9128,0.14465,0.40703,2.6457,0,0
1.913,0.14467,0.41828,2.7188,0,0
1.9131,0.14469,0.42952,2.7919,0,0
1.9107,0.14516,0.44077,2.865,0,0
1.9059,0.14608,0.45202,2.9381,0,0
1.9011,0.14699,0.46326,3.0112,0,0
1.8963,0.14791,0.47451,3.0843,0,0
1.8904,0.1491,0.48575,3.1574,0,0
1.8838,0.15047,0.497,3.2305,0,0
1.8772,0.15184,0.50825,3.3036,0,0
1.8706,0.15322,0.51949,3.3767,0,0
1.867,0.15425,0.53074,3.4498,0,0
1.8649,0.15513,0.54198,3.5229,0,0
1.8629,0.156,0.55323,3.596,0,0
1.8608,0.15688,0.56448,3.6691,0,0
1.8601,0.15714,0.57572,3.7422,0,0
1.8599,0.15718,0.58697,3.8153,0,0
1.8597,0.15723,0.59822,3.8884,0,0
1.8595,0.15727,0.60946,3.9615,0,0
1.8617,0.15681,0.62071,4.0346,0,0
1.8644,0.15621,0.63195,4.1077,0,0
1.8672,0.1556,0.6432,4.1808,0,0
1.87,0.15499,0.65445,4.2539,0,0
1.8764,0.15355,0.66569,4.327,0,0
1.8836,0.15191,0.67694,4.4001,0,0
1.8908,0.15028,0.68818,4.4732,0,0
1.8981,0.14865,0.69943,4.5463,0,0
1.9094,0.14617,0.71068,4.6194,0,0
1.9216,0.14351,0.72192,4.6925,0,0
1.9338,0.14085,0.73317,4.7656,0,0
1.946,0.13819,0.74442,4.8387,0,0
1.9619,0.13497,0.75566,4.9118,0,0
1.9784,0.13164,0.76691,4.9849,0,0
1.9949,0.12831,0.77815,5.058,0,0
2.0114,0.12498,0.7894,5.1311,0,0
2.0305,0.12145,0.80065,5.2042,0,0
2.05,0.11789,0.81189,5.2773,0,0
2.0696,0.11432,0.82314,5.3504,0,0
2.0892,0.11076,0.83438,5.4235,0,0
2.1102,0.10728,0.84563,5.4966,0,0
2.1315,0.10383,0.85688,5.5697,0,0
2.1528,0.10037,0.86812,5.6428,0,0
2.174,0.096919,0.87937,5.7159,0,0
2.1958,0.093734,0.89062,5.789,0,0
2.2177,0.090626,0.90186,5.8621,0,0
2.2395,0.087518,0.91311,5.9352,0,0
2.2614,0.084409,0.92435,6.0083,0,0
2.2835,0.081589,0.9356,6.0814,0,0
2.3056,0.078869,0.94685,6.1545,0,0
2.3278,0.07615,0.95809,6.2276,0,0
2.3499,0.07343,0.96934,6.3007,0,0
2.3728,0.070969,0.98058,6.3738,0,0
2.3961,0.068633,0.99183,6.4469,0,0
2.4193,0.066297,1.0031,6.52,0,0
2.4425,0.063961,1.0143,6.5931,0,0
2.4641,0.061878,1.0256,6.6662,0,0
2.4847,0.059958,1.0368,6.7393,0,0
2.5053,0.058039,1.0481,6.8124,0,0
2.5258,0.056119,1.0593,6.8855,0,0
2.5467,0.054368,1.0706,6.9586,0,0
2.5678,0.052781,1.0818,7.0317,0,0
2.589,0.051194,1.093,7.1048,0,0
2.6101,0.049607,1.1043,7.1779,0,0
2.6315,0.048034,1.1155,7.251,0,0
2.6532,0.046481,1.1268,7.3241,0,0
2.6749,0.044927,1.138,7.3972,0,0
2.6966,0.043374,1.1493,7.4703,0,0
2.7174,0.041939,1.1605,7.5434,0,0
2.7359,0.040802,1.1718,7.6165,0,0
2.7544,0.039665,1.183,7.6896,0,0
2.7729,0.038528,1.1943,7.7627,0,0
2.7912,0.037438,1.2055,7.8358,0,0
2.8081,0.036593,1.2168,7.9089,0,0
2.825,0.035749,1.228,7.982,0,0
2.8418,0.034905,1.2392,8.0551,0,0
2.8587,0.03406,1.2505,8.1282,0,0
2.8756,0.033216,1.2617,8.2013,0,0
2.8925,0.032372,1.273,8.2744,0,0
2.9094,0.031527,1.2842,8.3475,0,0
2.9263,0.030683,1.2955,8.4206,0,0
2.9432,0.029976,1.3067,8.4937,0,0
2.9601,0.029293,1.318,8.5668,0,0
2.9769,0.028609,1.3292,8.6399,0,0
2.9938,0.027926,1.3405,8.713,0,0
3.0107,0.027242,1.3517,8.7861,0,0
3.0276,0.026559,1.363,8.8592,0,0
3.0444,0.025875,1.3742,8.9323,0,0
3.0613,0.025192,1.3854,9.0054,0,0
