"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22474,8.6047e+06,0.95608,-1.2462,1,0,-8.1,0,0
0.2254,8.6026e+06,0.95584,-1.2349,1,0.0731,-8.0269,0,0
0.22606,8.6004e+06,0.9556,-1.2237,1,0.1462,-7.9538,0,0
0.22672,8.5982e+06,0.95536,-1.2124,1,0.2193,-7.8807,0,0
0.22746,8.5944e+06,0.95494,-1.2012,1,0.2924,-7.8076,0,0
0.22826,8.5895e+06,0.95439,-1.1899,1,0.3655,-7.7345,0,0
0.22905,8.5846e+06,0.95384,-1.1787,1,0.4386,-7.6614,0,0
0.22996,8.5798e+06,0.95331,-1.1674,1,0.5117,-7.5883,0,0
0.23145,8.5757e+06,0.95286,-1.1562,1,0.5848,-7.5152,0,0
0.23294,8.5717e+06,0.95241,-1.1449,1,0.6579,-7.4421,0,0
0.23443,8.5676e+06,0.95195,-1.1337,1,0.731,-7.369,0,0
0.23623,8.5584e+06,0.95094,-1.1224,1,0.8041,-7.2959,0,0
0.23814,8.5475e+06,0.94972,-1.1112,1,0.8772,-7.2228,0,0
0.24005,8.5365e+06,0.9485,-1.1,1,0.9503,-7.1497,0,0
0.24218,8.5265e+06,0.94739,-1.0887,1,1.0234,-7.0766,0,0
0.2448,8.5187e+06,0.94652,-1.0775,1,1.0965,-7.0035,0,0
0.24742,8.5108e+06,0.94565,-1.0662,1,1.1696,-6.9304,0,0
0.25005,8.503e+06,0.94477,-1.055,1,1.2427,-6.8573,0,0
0.2531,8.4877e+06,0.94308,-1.0437,1,1.3158,-6.7842,0,0
0.25623,8.4712e+06,0.94124,-1.0325,1,1.3889,-6.7111,0,0
0.25936,8.4546e+06,0.9394,-1.0212,1,1.462,-6.638,0,0
0.26276,8.4397e+06,0.93774,-1.01,1,1.5351,-6.5649,0,0
0.26657,8.4271e+06,0.93634,-0.99874,1,1.6082,-6.4918,0,0
0.27038,8.4145e+06,0.93494,-0.98749,1,1.6813,-6.4187,0,0
0.27419,8.4019e+06,0.93355,-0.97625,1,1.7544,-6.3456,0,0
0.27842,8.3814e+06,0.93126,-0.965,1,1.8275,-6.2725,0,0
0.28269,8.3601e+06,0.9289,-0.95375,1,1.9006,-6.1994,0,0
0.28695,8.3389e+06,0.92654,-0.94251,1,1.9737,-6.1263,0,0
