"Mach","Pressure","p","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22351,8.6047e+06,0.95608,-1.2462,1,0,-8.1,0,0
0.22415,8.6031e+06,0.9559,-1.2349,1,0.0731,-8.0269,0,0
0.22478,8.6015e+06,0.95573,-1.2237,1,0.1462,-7.9538,0,0
0.22542,8.6e+06,0.95555,-1.2124,1,0.2193,-7.8807,0,0
0.22629,8.5962e+06,0.95514,-1.2012,1,0.2924,-7.8076,0,0
0.22732,8.5909e+06,0.95455,-1.1899,1,0.3655,-7.7345,0,0
0.22836,8.5857e+06,0.95396,-1.1787,1,0.4386,-7.6614,0,0
0.2295,8.5805e+06,0.95339,-1.1674,1,0.5117,-7.5883,0,0
0.23113,8.5759e+06,0.95288,-1.1562,1,0.5848,-7.5152,0,0
0.23277,8.5713e+06,0.95237,-1.1449,1,0.6579,-7.4421,0,0
0.2344,8.5668e+06,0.95186,-1.1337,1,0.731,-7.369,0,0
0.23629,8.5576e+06,0.95085,-1.1224,1,0.8041,-7.2959,0,0
0.23827,8.5469e+06,0.94965,-1.1112,1,0.8772,-7.2228,0,0
0.24026,8.5361e+06,0.94845,-1.1,1,0.9503,-7.1497,0,0
0.24241,8.5261e+06,0.94735,-1.0887,1,1.0234,-7.0766,0,0
0.24498,8.518e+06,0.94644,-1.0775,1,1.0965,-7.0035,0,0
0.24755,8.5099e+06,0.94554,-1.0662,1,1.1696,-6.9304,0,0
0.25012,8.5018e+06,0.94464,-1.055,1,1.2427,-6.8573,0,0
0.25307,8.4879e+06,0.9431,-1.0437,1,1.3158,-6.7842,0,0
0.25609,8.473e+06,0.94145,-1.0325,1,1.3889,-6.7111,0,0
0.2591,8.4582e+06,0.9398,-1.0212,1,1.462,-6.638,0,0
0.26227,8.4441e+06,0.93823,-1.01,1,1.5351,-6.5649,0,0
0.26567,8.4311e+06,0.93679,-0.99874,1,1.6082,-6.4918,0,0
0.26907,8.4181e+06,0.93535,-0.98749,1,1.6813,-6.4187,0,0
0.27246,8.4051e+06,0.9339,-0.97625,1,1.7544,-6.3456,0,0
0.27675,8.3865e+06,0.93184,-0.965,1,1.8275,-6.2725,0,0
0.28111,8.3675e+06,0.92972,-0.95375,1,1.9006,-6.1994,0,0
0.28548,8.3484e+06,0.9276,-0.94251,1,1.9737,-6.1263,0,0
0.29015,8.3278e+06,0.92531,-0.93126,1,2.0468,-6.0532,0,0
0.29524,8.3054e+06,0.92282,-0.92002,1,2.1199,-5.9801,0,0
0.30033,8.283e+06,0.92033,-0.90877,1,2.193,-5.907,0,0
0.30542,8.2606e+06,0.91784,-0.89752,1,2.2661,-5.8339,0,0
0.31117,8.2347e+06,0.91497,-0.88628,1,2.3392,-5.7608,0,0
